Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Heimerdinger;Mage;SUPPORT;A;52.43;1.26;52.02%;62.08%;3.60%;6.14%;2.06
Heimerdinger;Mage;MID;A;49.19;1.9;54.23%;19.05%;1.10%;5.69%;1.93
Heimerdinger;Mage;TOP;C;39.8;-3.14;51.45%;11.08%;0.65%;5.69%;1.65
Illaoi;Fighter;TOP;A;52.86;1.73;51.24%;90.93%;3.93%;6.96%;1.52
Irelia;Fighter;MID;A;54.33;4.28;51.61%;50.99%;4.82%;12.05%;1.84
Irelia;Fighter;TOP;A;53.28;1.14;49.38%;46.41%;4.50%;12.05%;1.65
Ivern;Support;JUNGLE;D;34.45;-2.29;47.19%;72.92%;0.92%;0.37%;3.14
Ivern;Support;SUPPORT;D;32.04;10.57;46.62%;17.47%;0.22%;0.38%;2.44
Janna;Support;SUPPORT;S;64.32;2.4;53.68%;98.37%;4.96%;1.87%;3.21
Jarvan IV;Tank;JUNGLE;A;48.37;-0.46;52.09%;82.01%;1.82%;0.25%;3.39
Jax;Fighter;TOP;God;68.79;8.39;51.59%;79.43%;7.13%;8.74%;1.71
Jax;Fighter;JUNGLE;C;40.42;6.82;50.74%;16.72%;1.60%;8.74%;2.39
Jayce;Fighter;MID;B;44.27;-4.23;51.61%;20.94%;0.46%;0.33%;2.17
Jayce;Fighter;TOP;C;40.51;-3.14;49.15%;74.41%;1.72%;0.33%;1.83
Jhin;Marksman;ADC;God;78.44;3.43;51.58%;96.11%;14.15%;3.94%;2.83
Jinx;Marksman;ADC;A;52.22;0.35;50.65%;97.73%;7.92%;0.91%;2.19
K'Sante;#N/A;TOP;God;75.69;-4.57;46.52%;86.15%;9.89%;14.89%;1.91
Kai'Sa;Marksman;ADC;God;90.99;-2.55;51.37%;96.13%;19.19%;5.62%;2.41
Kalista;Marksman;ADC;D;32.98;0.08;48.48%;92.70%;3.12%;1.24%;2.15
Karma;Mage;SUPPORT;S;62.68;4.43;50.21%;86.52%;7.13%;1.77%;2.68
Karthus;Mage;MID;B;42.92;2.27;50.73%;14.11%;0.37%;1.67%;2.24
Karthus;Mage;ADC;C;39.69;2.72;54.43%;20.16%;0.59%;1.67%;2.23
Karthus;Mage;JUNGLE;C;39.56;-0.1;49.94%;57.26%;1.59%;1.67%;2.6
Kassadin;Assassin;MID;A;54.3;1.76;49.70%;96.49%;5.08%;7.87%;2.47
Katarina;Assassin;MID;S;60.16;-3.76;49.02%;92.08%;8.24%;9.93%;2.21
Kayle;Fighter;TOP;B;46.18;2.91;50.95%;73.64%;2.33%;0.69%;1.77
Kayle;Fighter;MID;B;44.77;12.13;52.07%;17.67%;0.44%;0.69%;2.12
Kayn;Fighter;JUNGLE;God;76.51;5.81;49.89%;95.26%;10.19%;10.95%;2.51
Kennen;Mage;MID;B;43.79;2.89;51.24%;19.67%;0.26%;0.38%;2.3
Kennen;Mage;TOP;C;37.28;-3.75;48.65%;69.89%;1.00%;0.47%;1.93
Kha'Zix;Assassin;JUNGLE;S;58.79;6.3;51.60%;97.52%;5.49%;3.00%;2.73
Kindred;Marksman;JUNGLE;A;51.96;-4.48;49.60%;92.72%;5.26%;4.63%;2.23
Kled;Fighter;MID;A;52.45;0;55.71%;11.68%;0.21%;0.83%;2.58
Kled;Fighter;TOP;A;49.58;0.79;52.15%;83.37%;1.70%;0.79%;2.35
Kog'Maw;Marksman;ADC;C;38.47;3.44;51.58%;88.82%;2.54%;0.61%;2.18
LeBlanc;Assassin;MID;B;46.66;-2.19;47.80%;89.45%;3.07%;4.88%;2.68
Lee Sin;Fighter;JUNGLE;S;65.86;2.49;47.42%;90.21%;9.06%;5.20%;2.75
Leona;Tank;SUPPORT;A;54.4;0.61;49.55%;97.52%;5.26%;5.77%;2.3
Lillia;Fighter;JUNGLE;S;64.4;15.88;54.06%;77.90%;5.32%;3.89%;3.02
Lillia;Fighter;TOP;A;49.82;5.92;54.09%;17.34%;1.23%;3.89%;2.05
Lissandra;Mage;MID;B;43.28;-0.25;48.56%;88.71%;1.96%;0.75%;2.3
Lucian;Marksman;ADC;S;62.09;-0.85;50.97%;92.06%;10.47%;4.08%;2.29
Lulu;Support;SUPPORT;God;69.65;-1.73;50.53%;96.18%;7.85%;10.48%;2.95
Lux;Mage;SUPPORT;God;83.36;7.81;50.31%;72.08%;12.19%;9.52%;2.44
Lux;Mage;MID;S;56.33;0.2;51.14%;24.07%;4.21%;9.52%;2.81
Malphite;Tank;MID;B;43.32;3.59;50.04%;16.65%;0.62%;1.88%;2.45
Malphite;Tank;TOP;B;42.32;-8.72;47.41%;59.69%;2.33%;1.88%;2.26
Malphite;Tank;SUPPORT;D;26.87;-3.97;43.84%;18.27%;0.77%;1.89%;2.01
Malzahar;Mage;MID;A;52.75;-4.5;51.52%;88.42%;3.95%;4.29%;2.2
Maokai;Tank;SUPPORT;B;46.14;-0.81;51.10%;66.68%;2.14%;0.70%;2.29
Maokai;Tank;TOP;C;38.23;-8.42;49.24%;18.17%;0.63%;0.73%;2.13
Maokai;Tank;JUNGLE;C;36.52;-7.75;49.72%;12.72%;0.43%;0.73%;2.98
Master Yi;Assassin;JUNGLE;God;74.19;8.04;51.22%;92.61%;7.88%;23.03%;2.19
Miss Fortune;Marksman;ADC;S;63.52;-5.25;50.69%;87.95%;11.16%;5.29%;2.16
Mordekaiser;Fighter;TOP;God;75.65;6.79;51.90%;58.98%;7.67%;14.49%;1.89
Mordekaiser;Fighter;JUNGLE;S;64.96;25.06;56.79%;33.40%;3.96%;14.49%;2.78
Morgana;Mage;SUPPORT;God;80.04;8.59;51.50%;88.41%;8.03%;30.60%;2.48
Nami;Support;SUPPORT;God;88.29;2.32;53.68%;99.32%;11.89%;3.56%;3.26
Nasus;Fighter;TOP;S;62;1.09;52.09%;78.21%;5.07%;5.51%;2.02
Nautilus;Tank;SUPPORT;S;59.68;0.08;49.73%;96.19%;6.52%;8.55%;2.28
Neeko;Mage;MID;A;50.22;7.24;52.84%;51.22%;1.78%;0.82%;2.34
Neeko;Mage;SUPPORT;C;37.62;-1.09;49.34%;28.76%;0.85%;0.82%;2.05
Nidalee;Assassin;JUNGLE;C;36.99;-4.76;46.61%;82.64%;2.34%;1.13%;2.77
Nilah;Marksman;ADC;A;52.65;7.81;54.75%;95.48%;4.43%;7.63%;2.26
Nocturne;Assassin;JUNGLE;A;52.7;7.57;53.05%;82.72%;3.24%;1.91%;2.77
Nocturne;Assassin;MID;B;45.6;0;52.66%;11.35%;0.30%;1.91%;2.15
Nunu;Tank;JUNGLE;B;41.11;-3.5;48.13%;86.74%;2.56%;0.87%;2.86
Olaf;Fighter;TOP;B;47.69;-4.38;52.26%;71.89%;1.99%;1.64%;1.81
Olaf;Fighter;JUNGLE;C;36.2;-3.47;50.69%;23.98%;0.61%;1.64%;2.42
Orianna;Mage;MID;B;46.48;0.75;49.96%;89.78%;1.75%;0.22%;2.6
Ornn;Tank;TOP;S;58.3;-2.22;50.37%;87.24%;4.97%;1.41%;2.19
Pantheon;Fighter;MID;A;50.18;1.26;53.41%;23.59%;1.41%;1.49%;2.31
Pantheon;Fighter;TOP;B;43.95;4.2;51.40%;20.40%;1.13%;1.49%;2.04
Pantheon;Fighter;JUNGLE;C;39.56;2.96;51.57%;11.05%;0.62%;1.49%;2.75
Pantheon;Fighter;SUPPORT;C;37.6;3.86;46.60%;42.66%;2.59%;1.49%;1.9
Poppy;Tank;TOP;C;38.91;-7.45;49.35%;35.12%;0.90%;0.84%;2.03
Poppy;Tank;JUNGLE;C;37.53;-2.61;48.85%;51.78%;1.41%;0.84%;2.76
Poppy;Tank;SUPPORT;D;32.35;0;47.50%;11.07%;0.27%;0.83%;2.07
Pyke;Support;SUPPORT;God;71.85;-2.49;49.26%;91.76%;9.34%;16.70%;2.21
Qiyana;Assassin;MID;B;42.7;-0.64;47.87%;72.10%;2.76%;1.25%;2.01
Qiyana;Assassin;JUNGLE;D;21.9;-15.72;43.09%;21.74%;0.76%;1.25%;2.32
Quinn;Marksman;MID;B;41.64;0;50.63%;10.70%;0.18%;0.79%;2.09
Quinn;Marksman;TOP;C;38.67;-6.67;49.48%;68.40%;1.12%;0.74%;1.81
Quinn;Marksman;ADC;D;25.8;0;49.56%;11.63%;0.19%;0.79%;2
Rakan;Support;SUPPORT;A;53.88;4.13;51.07%;97.17%;3.90%;0.32%;2.79
Rammus;Tank;JUNGLE;A;56.12;0.89;50.92%;82.38%;4.09%;11.17%;3.25
Rammus;Tank;TOP;C;40.23;0;51.16%;12.01%;0.51%;11.17%;1.88
Rek'Sai;Fighter;JUNGLE;C;36.34;-6.54;49.04%;93.90%;1.28%;1.17%;2.56
Rell;Tank;SUPPORT;B;47.92;1.62;52.03%;97.77%;1.93%;0.40%;2.47
Renata Glasc;Support;SUPPORT;S;59.64;-1.8;51.92%;98.77%;5.09%;3.57%;2.71
Renekton;Fighter;TOP;A;50.25;1.36;49.78%;81.98%;3.80%;2.60%;1.8
Renekton;Fighter;MID;B;44.82;2.36;51.93%;15.30%;0.65%;2.60%;2.07
Rengar;Assassin;JUNGLE;A;48.83;4.01;48.97%;77.00%;4.50%;5.81%;2.41
Rengar;Assassin;TOP;B;42.48;-2.02;51.04%;17.41%;1.12%;5.81%;1.88
Riven;Fighter;TOP;A;55.95;5.62;50.41%;84.88%;4.80%;1.73%;1.89
Rumble;Fighter;MID;B;45.26;-5.17;50.98%;34.95%;0.75%;0.46%;2.46
Rumble;Fighter;TOP;C;36.64;-4.46;48.25%;42.62%;0.89%;0.46%;2.02
Rumble;Fighter;JUNGLE;D;28.92;0;46.55%;17.59%;0.39%;0.46%;2.69
Ryze;Mage;MID;B;46.73;8.2;46.51%;85.05%;5.34%;0.57%;2.09
Ryze;Mage;TOP;D;29.73;-7.66;45.87%;11.38%;0.71%;0.57%;1.78
Samira;Marksman;ADC;S;66.13;4.14;51.28%;96.93%;9.56%;21.82%;2.2
Sejuani;Tank;JUNGLE;A;55.72;-2.03;50.76%;60.45%;4.31%;2.26%;3.38
Sejuani;Tank;TOP;B;42.68;-13.48;48.15%;32.05%;2.08%;2.26%;2.24
Senna;Marksman;SUPPORT;S;59.03;4.64;49.31%;91.10%;6.73%;2.72%;2.48
Seraphine;Mage;SUPPORT;A;54.98;2.77;51.00%;68.98%;4.64%;1.99%;2.44
Seraphine;Mage;ADC;B;44.97;0.03;54.07%;20.97%;1.08%;1.99%;2.87
Sett;Fighter;TOP;God;74.93;11.69;50.44%;77.57%;9.20%;6.75%;1.72
Shaco;Assassin;JUNGLE;A;56.21;1.91;48.04%;75.90%;5.53%;15.54%;2.79
Shaco;Assassin;SUPPORT;C;39.72;3.46;48.95%;17.13%;1.16%;15.54%;2.31
Shen;Tank;TOP;God;68.58;4.75;53.81%;77.13%;4.77%;1.12%;2.9
Shen;Tank;SUPPORT;D;33.3;0;46.57%;11.03%;0.64%;1.13%;2.43
Shyvana;Fighter;JUNGLE;S;57.27;9.49;55.58%;86.19%;2.99%;1.11%;2.94
Shyvana;Fighter;TOP;C;36.12;-7;49.13%;10.61%;0.36%;1.13%;2
Singed;Tank;MID;A;52.75;3.06;55.51%;14.05%;0.35%;0.51%;2.64
Singed;Tank;TOP;A;48.96;-3.21;52.74%;64.89%;1.73%;0.58%;2.05
Singed;Tank;JUNGLE;B;42.2;0;52.95%;10.54%;0.27%;0.51%;3.02
Sion;Tank;TOP;A;49.11;2.51;46.74%;75.18%;5.38%;2.61%;1.55
Sivir;Marksman;ADC;B;41.41;-0.75;50.57%;97.58%;3.99%;1.29%;2.31
Skarner;Fighter;JUNGLE;B;41.99;-10.04;51.50%;77.02%;0.97%;0.22%;2.99
Skarner;Fighter;TOP;D;35.1;-3.61;48.49%;15.32%;0.17%;0.21%;2.16
Sona;Support;SUPPORT;A;55.94;3.11;52.75%;97.52%;3.44%;0.27%;2.89
Soraka;Support;SUPPORT;S;64.68;3.99;51.91%;95.42%;6.64%;3.19%;2.71
Swain;Mage;SUPPORT;A;54.77;12.13;50.82%;50.04%;4.61%;4.55%;2.38
Swain;Mage;MID;A;53.64;0.19;52.92%;33.04%;2.58%;4.55%;2.6
Swain;Mage;ADC;C;38.99;-3.86;52.19%;10.54%;0.73%;4.55%;2.77
Sylas;Mage;MID;S;67.69;-21.88;50.32%;66.95%;10.31%;11.04%;2.13
Sylas;Mage;JUNGLE;A;48.14;0;49.50%;23.94%;3.57%;11.04%;2.64
Syndra;Mage;MID;S;66.99;-14.27;52.44%;87.95%;8.38%;9.57%;2.31
Tahm Kench;Support;TOP;C;40.6;-6.82;47.32%;58.84%;2.03%;1.03%;2.21
Tahm Kench;Support;SUPPORT;D;30.79;-4.18;45.44%;28.67%;0.89%;1.03%;2.14
Taliyah;Mage;MID;B;44.16;-0.43;50.65%;47.01%;1.04%;0.55%;2.2
Taliyah;Mage;SUPPORT;C;38.45;0;51.05%;11.04%;0.23%;0.51%;1.97
Taliyah;Mage;JUNGLE;C;35.66;-0.97;49.34%;37.88%;0.85%;0.55%;2.64
Talon;Assassin;MID;B;47.86;1.63;50.23%;56.83%;3.03%;1.43%;2.14
Talon;Assassin;JUNGLE;D;35.35;0.09;46.94%;40.01%;2.17%;1.43%;2.46
Taric;Support;SUPPORT;A;48.53;2.28;51.98%;85.73%;1.90%;0.37%;2.66
Teemo;Marksman;TOP;S;61.21;8.05;51.74%;68.30%;5.14%;8.27%;1.76
Teemo;Marksman;SUPPORT;C;38.36;0;50.17%;10.38%;0.70%;8.27%;1.91
Thresh;Support;SUPPORT;S;68.34;4.63;49.36%;97.01%;9.48%;2.15%;2.53
Tristana;Marksman;ADC;S;57.38;-1.56;52.09%;86.28%;7.94%;4.77%;2.29
Tristana;Marksman;MID;A;48.59;0;53.60%;10.60%;0.80%;4.77%;2.19
Trundle;Fighter;JUNGLE;S;57.91;13.15;55.03%;74.02%;3.33%;3.37%;2.95
Trundle;Fighter;TOP;B;44.08;8.39;52.82%;20.98%;0.93%;3.37%;1.73
Tryndamere;Fighter;MID;A;50.74;11.16;55.29%;18.71%;0.59%;2.90%;2.16
Tryndamere;Fighter;TOP;A;48.84;1.37;51.47%;71.32%;2.59%;2.90%;1.84
Twisted Fate;Mage;MID;C;39.7;-1.21;46.55%;86.00%;2.25%;0.13%;2.11
Twitch;Marksman;ADC;A;53.98;4.32;52.42%;66.84%;6.28%;6.86%;2.39
Twitch;Marksman;SUPPORT;B;43.77;8.73;51.21%;14.99%;1.42%;6.86%;2.17
Udyr;Fighter;JUNGLE;God;68.83;6.12;51.85%;85.95%;6.97%;16.12%;2.61
Udyr;Fighter;TOP;B;40.94;0.83;50.93%;11.24%;0.90%;16.12%;1.75
Urgot;Fighter;TOP;A;50.78;-1.66;52.01%;87.13%;2.64%;1.26%;1.98
Varus;Marksman;ADC;S;62.54;1.63;50.36%;79.01%;10.92%;4.68%;2.32
Varus;Marksman;MID;B;45.04;4.09;48.95%;18.56%;2.79%;4.68%;2.06
Vayne;Marksman;ADC;A;54.99;13.18;50.42%;81.18%;8.52%;10.77%;2.03
Vayne;Marksman;TOP;B;41.74;-0.63;50.58%;15.52%;1.54%;10.77%;1.57
Veigar;Mage;MID;A;51.62;1.29;50.57%;71.24%;4.21%;2.76%;2.19
Veigar;Mage;ADC;D;34.64;5.86;51.64%;15.67%;0.79%;2.99%;2.32
Veigar;Mage;SUPPORT;D;33.8;0;47.87%;10.69%;0.68%;2.99%;1.92
Vel'Koz;Mage;MID;B;45.57;0.15;50.88%;29.36%;0.85%;0.69%;2.52
Vel'Koz;Mage;SUPPORT;B;45.09;2.92;50.80%;63.82%;2.08%;0.69%;2.22
Vex;Mage;MID;S;58.89;-7.33;52.39%;90.77%;5.28%;9.05%;2.38
Vi;Fighter;JUNGLE;S;57.92;9.92;54.60%;91.80%;3.90%;1.03%;2.75
Viego;Assassin;JUNGLE;S;66.25;-8.07;49.68%;89.55%;8.46%;4.72%;2.5
Viktor;Mage;MID;S;56.32;-8.42;50.71%;94.59%;6.02%;4.03%;2.19
Vladimir;Mage;MID;A;50.06;-3.81;50.08%;75.56%;3.71%;5.65%;2.24
