Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;S;66.17;-11;48.23%;91.94%;6.36%;5.83%;1.88
Ahri;Mage;MID;God;79.46;-0.88;50.70%;95.49%;10.48%;10.29%;2.72
Akali;Assassin;MID;A;56.04;-6.6;47.42%;65.77%;6.03%;13.84%;2.32
Akali;Assassin;TOP;B;44.73;-4.9;47.12%;33.33%;2.93%;13.84%;2.08
Akshan;Marksman;MID;A;47.55;-4.99;49.50%;62.98%;3.11%;8.64%;2.23
Akshan;Marksman;TOP;B;43.63;-1.19;51.55%;29.09%;1.49%;8.64%;2.03
Alistar;Tank;SUPPORT;B;42.34;-5.45;47.39%;96.61%;3.61%;0.93%;2.36
Amumu;Tank;JUNGLE;B;39.49;0.7;48.93%;85.98%;2.54%;1.10%;2.51
Amumu;Tank;SUPPORT;C;35.21;2.14;48.65%;10.34%;0.29%;1.17%;1.92
Anivia;Mage;MID;A;56.22;5.68;51.80%;84.64%;3.79%;4.21%;2.74
Anivia;Mage;SUPPORT;C;34.61;2.74;47.40%;10.84%;0.41%;4.09%;2.27
Annie;Mage;MID;B;43.26;-0.26;49.82%;83.86%;1.73%;0.65%;2.36
Annie;Mage;SUPPORT;C;37.49;10.56;49.45%;10.13%;0.20%;0.65%;2.19
Aphelios;Marksman;ADC;D;30.76;-5.09;45.96%;96.96%;5.67%;0.90%;1.96
Ashe;Marksman;ADC;A;53.6;7.09;51.85%;75.52%;7.15%;1.09%;2.46
Ashe;Marksman;SUPPORT;C;38.59;-0.6;47.36%;20.85%;1.94%;1.09%;2.4
Aurelion Sol;Mage;MID;B;41.85;2.32;49.61%;87.62%;1.24%;0.41%;2.49
Azir;Mage;MID;B;43.3;5.62;48.34%;86.67%;2.68%;0.54%;2.3
Bard;Support;SUPPORT;A;51.39;2.57;50.81%;97.04%;3.66%;0.50%;3.07
Blitzcrank;Tank;SUPPORT;A;58;-5.13;50.82%;98.14%;6.42%;15.65%;2.44
Brand;Mage;SUPPORT;A;48.33;4.04;51.17%;67.10%;3.78%;5.14%;1.93
Brand;Mage;MID;A;47.54;7.05;53.43%;20.78%;1.11%;5.58%;2.18
Braum;Support;SUPPORT;A;47.79;4.02;50.74%;98.59%;2.46%;0.33%;2.9
Caitlyn;Marksman;ADC;B;45.09;-3.74;46.65%;96.40%;8.47%;5.85%;2.18
Camille;Fighter;TOP;S;63.83;3.45;47.97%;94.89%;6.20%;3.80%;1.9
Cassiopeia;Mage;MID;B;45.8;1.57;50.18%;74.80%;2.52%;1.72%;2.17
Cassiopeia;Mage;TOP;D;33.14;5.06;50.42%;15.96%;0.50%;1.66%;1.88
Cho'Gath;Tank;TOP;B;43.26;-8.74;49.14%;67.17%;2.45%;0.86%;2.03
Cho'Gath;Tank;MID;B;40.1;-5.43;50.29%;18.89%;0.62%;0.92%;2.28
