Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;S;59.99;4.88;48.06%;92.58%;5.03%;2.15%;1.87
Ahri;Mage;MID;God;95.22;39.37;53.40%;94.04%;15.29%;8.93%;2.59
Akali;Assassin;TOP;S;74.79;-12.94;48.48%;41.25%;5.10%;20.26%;2.08
Akali;Assassin;MID;S;64.77;-9.81;49.10%;58.10%;7.51%;20.26%;2.33
Akshan;Marksman;MID;A;54.42;-9.08;50.75%;59.43%;4.14%;18.73%;2.18
Akshan;Marksman;TOP;B;40.57;-16.3;49.62%;31.36%;2.06%;18.73%;1.93
Alistar;Tank;SUPPORT;B;43;-0.56;49.98%;96.98%;3.11%;0.65%;2.5
Amumu;Tank;JUNGLE;B;44.95;-8.6;51.06%;85.43%;2.80%;1.43%;2.41
Amumu;Tank;SUPPORT;D;29.3;-2.07;49.13%;10.96%;0.33%;1.67%;1.98
Anivia;Mage;MID;A;52.75;-1.9;52.46%;80.00%;2.77%;2.92%;2.57
Anivia;Mage;SUPPORT;D;31.19;5.53;49.43%;13.07%;0.42%;2.90%;2.18
Annie;Mage;MID;A;47.39;1.7;51.74%;84.73%;1.79%;0.64%;2.37
Aphelios;Marksman;ADC;B;43.7;6.18;47.49%;97.83%;8.43%;1.45%;2.05
Ashe;Marksman;ADC;B;45.08;8.2;50.04%;90.27%;4.87%;0.86%;2.32
Aurelion Sol;Mage;MID;B;45.15;3.37;51.39%;88.89%;1.07%;0.32%;2.47
Azir;Mage;MID;C;36.5;2.6;47.17%;91.03%;1.35%;0.24%;2.05
Bard;Support;SUPPORT;B;43.52;-4.83;49.02%;91.85%;3.30%;0.78%;2.9
Blitzcrank;Tank;SUPPORT;S;74.26;1.32;52.29%;98.29%;8.74%;19.48%;2.46
Brand;Mage;SUPPORT;B;45.88;4.43;51.05%;69.87%;3.90%;5.35%;1.84
Brand;Mage;ADC;B;42.64;0;52.18%;11.72%;0.47%;5.35%;2.2
Brand;Mage;MID;B;39.84;1.97;49.94%;15.98%;0.88%;5.83%;1.98
Braum;Support;SUPPORT;B;40.71;0.26;49.74%;98.14%;2.23%;0.30%;2.77
Caitlyn;Marksman;ADC;A;56.81;-27.42;47.97%;97.73%;14.93%;15.56%;2.19
Camille;Fighter;TOP;God;77.72;-4.16;49.93%;95.98%;6.04%;5.64%;1.9
Cassiopeia;Mage;MID;A;47.89;0.28;52.08%;68.57%;2.16%;1.47%;2.11
Cassiopeia;Mage;ADC;B;44.97;0;52.85%;12.54%;0.44%;1.47%;2.43
Cassiopeia;Mage;TOP;D;22.56;-5.86;50.12%;17.92%;0.58%;1.47%;1.88
Cho'Gath;Tank;MID;B;45.74;6.99;52.89%;19.49%;0.53%;0.87%;2.37
Cho'Gath;Tank;TOP;B;44.36;-2.69;50.77%;67.99%;2.49%;0.87%;2.11
Corki;Marksman;MID;B;44.44;-23.58;46.03%;92.93%;4.60%;3.46%;2.04
Darius;Fighter;TOP;God;88.09;4.92;50.10%;94.03%;6.39%;14.75%;1.83
Diana;Fighter;JUNGLE;God;84.9;-6.39;52.29%;85.23%;11.65%;17.00%;2.48
Diana;Fighter;MID;A;47.18;0.6;51.77%;13.35%;1.74%;17.00%;2.14
Dr. Mundo;Marksman;TOP;A;57.67;-0.47;51.95%;89.17%;3.40%;2.68%;2.18
Draven;Fighter;ADC;B;44.25;-0.57;49.77%;94.52%;5.06%;8.91%;2.11
Ekko;Assassin;JUNGLE;A;54.49;-2.72;50.47%;65.25%;5.49%;3.51%;2.69
Ekko;Assassin;MID;B;45.95;-3.09;49.76%;32.09%;2.62%;3.51%;2.23
Elise;Mage;JUNGLE;B;41.49;0.08;50.48%;92.70%;1.97%;1.22%;2.51
Evelynn;Assassin;JUNGLE;B;43.12;-4.87;47.82%;98.21%;3.52%;7.23%;2.78
Ezreal;Marksman;ADC;S;61.47;-9.74;49.18%;96.44%;18.18%;4.43%;2.36
