Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;68.69;-0.68;48.87%;92.15%;7.49%;5.55%;1.95
Ahri;Mage;MID;God;73.09;-0.63;50.42%;94.37%;10.14%;7.85%;2.65
Akali;Assassin;MID;S;60.41;1.74;49.24%;69.81%;6.74%;11.72%;2.42
Akali;Assassin;TOP;C;40.98;-2.85;46.38%;29.18%;2.78%;11.72%;2.05
Akshan;Marksman;MID;A;49.07;2.17;50.64%;57.12%;2.85%;7.17%;2.24
Akshan;Marksman;TOP;B;42.52;0.56;50.31%;33.86%;1.64%;7.17%;2
Alistar;Tank;SUPPORT;C;40.14;-2.86;48.92%;95.81%;2.50%;0.63%;2.43
Amumu;Tank;JUNGLE;A;54.58;8.47;53.56%;59.83%;3.23%;1.28%;2.8
Amumu;Tank;SUPPORT;B;42.27;8.75;51.93%;38.16%;1.55%;1.28%;2.21
Anivia;Mage;MID;A;51.77;0.18;51.77%;79.68%;2.53%;3.24%;2.64
Anivia;Mage;SUPPORT;D;29;-0.4;46.63%;13.84%;0.39%;3.24%;2.15
Annie;Mage;MID;A;48.62;3.8;51.86%;80.67%;1.82%;0.69%;2.41
Annie;Mage;SUPPORT;D;30.12;0.67;47.57%;11.58%;0.24%;0.69%;2.11
Aphelios;Marksman;ADC;D;29.32;-3.27;47.26%;96.88%;4.39%;0.77%;2.04
Ashe;Marksman;SUPPORT;A;52.88;-1.59;49.37%;44.96%;6.58%;4.37%;2.43
Ashe;Marksman;ADC;A;51.03;2.13;50.52%;52.33%;7.92%;4.37%;2.41
Aurelion Sol;Mage;MID;C;40.95;-2.33;48.77%;86.78%;0.90%;0.33%;2.54
Azir;Mage;MID;A;48.78;5.25;49.09%;89.76%;3.95%;1.52%;2.21
Bard;Support;SUPPORT;A;49.91;0.74;51.09%;95.32%;3.70%;0.57%;3.05
Bel'Veth;Fighter;JUNGLE;God;93.99;-0.93;52.65%;92.36%;12.72%;61.41%;2.39
Blitzcrank;Tank;SUPPORT;S;56.98;3.19;50.25%;97.81%;6.56%;14.44%;2.47
Brand;Mage;SUPPORT;B;45;0.77;50.97%;70.13%;3.49%;4.98%;1.85
Brand;Mage;MID;C;37.71;-4.12;48.30%;20.28%;0.89%;4.98%;2.01
Braum;Support;SUPPORT;C;40.21;-2.77;48.80%;97.82%;2.11%;0.32%;2.79
Caitlyn;Marksman;ADC;A;51.63;2.4;48.35%;96.12%;10.04%;5.37%;2.22
Camille;Fighter;TOP;S;58.29;0.09;50.24%;94.38%;4.95%;2.87%;1.98
Cassiopeia;Mage;MID;A;48.27;0.83;51.85%;75.58%;2.12%;1.77%;2.16
Cassiopeia;Mage;TOP;D;37.33;1.85;51.39%;14.27%;0.41%;1.75%;1.84
Cho'Gath;Tank;TOP;B;46.72;2.45;51.62%;64.68%;1.89%;0.71%;2.11
Cho'Gath;Tank;MID;C;39.84;-2.11;49.31%;19.56%;0.46%;0.71%;2.36
Corki;Marksman;MID;A;50.08;6.64;49.77%;93.42%;3.85%;0.54%;2.31
Darius;Fighter;TOP;God;92.18;0.79;50.51%;93.09%;9.49%;21.74%;1.89
Diana;Fighter;JUNGLE;S;62.81;3.12;52.72%;84.01%;9.72%;8.19%;2.61
Diana;Fighter;MID;B;45.74;0.43;50.80%;14.38%;1.73%;8.19%;2.18
Dr. Mundo;Marksman;TOP;B;47.55;-10;50.09%;84.20%;2.62%;1.86%;2.18
Draven;Fighter;ADC;A;51.01;2.79;50.43%;94.17%;7.67%;13.84%;2.13
Ekko;Assassin;JUNGLE;A;51.71;-1.04;50.84%;62.86%;4.51%;2.51%;2.78
Ekko;Assassin;MID;B;45.22;-2.35;49.19%;34.12%;2.48%;2.51%;2.3
Elise;Mage;JUNGLE;B;45.04;4.63;49.99%;90.75%;1.28%;0.53%;2.69
Evelynn;Assassin;JUNGLE;B;44.4;2.13;47.69%;97.38%;2.80%;3.48%;2.91
Ezreal;Marksman;ADC;God;89.94;4.19;49.00%;95.44%;21.45%;5.66%;2.42
Fiddlesticks;Mage;JUNGLE;B;44.48;-1.19;49.05%;86.15%;2.31%;1.16%;2.58
Fiora;Fighter;TOP;God;74.77;-15.5;50.97%;97.33%;6.65%;19.96%;1.79
Fizz;Assassin;MID;B;48.04;-0.36;49.49%;95.08%;2.95%;4.54%;2.45
Galio;Tank;MID;B;45.04;-0.99;49.17%;77.13%;1.90%;0.32%;2.64
Galio;Tank;SUPPORT;D;30.66;-7.92;47.23%;19.11%;0.47%;0.33%;2.24
Gangplank;Fighter;TOP;God;74.38;-1.94;47.73%;79.42%;8.23%;12.81%;2.03
Gangplank;Fighter;MID;B;43.37;2.31;48.77%;19.28%;2.06%;12.81%;2.18
Garen;Fighter;TOP;God;66.52;1.79;51.46%;85.21%;5.94%;2.92%;2.08
Gnar;Fighter;TOP;S;57.81;7.45;50.05%;96.18%;5.02%;1.16%;1.99
Gragas;Fighter;JUNGLE;B;45.86;-4.67;49.78%;23.47%;1.24%;0.61%;2.97
Gragas;Fighter;MID;B;45.83;-2.26;51.57%;13.69%;0.82%;0.61%;2.53
