Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Renekton;Fighter;TOP;A;49.05;-0.65;48.67%;84.39%;4.35%;3.25%;1.82
Renekton;Fighter;MID;B;45.88;5.06;53.83%;14.15%;0.69%;3.25%;2.12
Rengar;Assassin;TOP;B;47.93;6.48;51.79%;17.71%;0.79%;6.14%;1.93
Rengar;Assassin;JUNGLE;B;45.24;2.22;50.63%;79.28%;3.34%;6.14%;2.4
Riven;Fighter;TOP;A;50.72;0.27;49.87%;90.24%;3.82%;1.54%;1.97
Rumble;Fighter;MID;B;47.14;-0.08;52.39%;37.80%;1.00%;0.58%;2.69
Rumble;Fighter;TOP;B;43.39;-0.59;48.15%;51.35%;1.25%;0.58%;2.15
Ryze;Mage;MID;C;38.62;1.92;46.96%;80.45%;2.16%;0.13%;2.2
Ryze;Mage;TOP;C;37.14;5.86;46.56%;16.33%;0.44%;0.13%;1.8
Samira;Marksman;ADC;S;61.17;-2.37;51.31%;97.54%;9.63%;21.23%;2.32
Sejuani;Tank;JUNGLE;S;55.34;9.36;51.89%;60.54%;3.82%;1.26%;3.42
Sejuani;Tank;TOP;A;54.66;3.38;52.25%;35.03%;2.18%;1.26%;2.55
Senna;Marksman;SUPPORT;S;55.35;-6.66;49.19%;92.85%;6.27%;3.25%;2.56
Seraphine;Mage;SUPPORT;A;53.09;-0.29;50.23%;61.23%;5.13%;2.53%;2.5
Seraphine;Mage;ADC;B;46.55;0.73;53.24%;26.18%;1.88%;2.53%;2.94
Seraphine;Mage;MID;B;44.98;0.27;50.73%;12.28%;0.98%;2.53%;2.85
Sett;Fighter;TOP;God;69.33;-0.26;50.93%;74.15%;11.83%;7.00%;1.79
Sett;Fighter;MID;A;51.71;5.58;54.58%;13.81%;1.88%;7.00%;2.18
Shaco;Assassin;JUNGLE;S;56.42;-6.77;49.15%;80.56%;5.55%;14.19%;2.69
Shaco;Assassin;SUPPORT;C;36.92;2.84;49.41%;14.21%;0.97%;15.15%;2.36
Shen;Tank;TOP;S;61.13;-0.65;52.15%;86.32%;4.12%;0.79%;3.08
Shyvana;Fighter;TOP;A;51.28;6.3;53.28%;16.61%;0.45%;0.77%;2.22
Shyvana;Fighter;JUNGLE;A;49.14;7.07;53.23%;81.32%;2.46%;0.73%;2.84
Singed;Tank;TOP;A;54.75;4.61;53.76%;69.66%;1.99%;0.76%;2.13
Singed;Tank;MID;A;51.8;0.37;55.42%;18.57%;0.52%;0.76%;2.83
Sion;Tank;TOP;A;51.38;1.71;51.62%;81.60%;3.65%;0.74%;1.58
Sivir;Marksman;ADC;B;47.48;-2.25;49.18%;98.45%;7.21%;3.72%;2.44
Skarner;Fighter;TOP;B;44.13;-7.18;48.99%;19.75%;0.17%;0.14%;2.41
Skarner;Fighter;JUNGLE;C;37.86;3.57;51.24%;76.38%;0.75%;0.14%;2.97
Sona;Support;SUPPORT;S;55.35;7.88;52.16%;96.83%;4.17%;0.31%;2.95
Soraka;Support;SUPPORT;S;66.64;0.47;50.92%;95.17%;8.09%;3.65%;2.85
Swain;Mage;MID;A;51.6;-4.71;52.44%;36.90%;2.33%;3.89%;2.65
Swain;Mage;SUPPORT;A;48.97;1.64;51.30%;46.35%;3.44%;3.89%;2.35
Swain;Mage;ADC;B;44.6;0;53.97%;10.97%;0.60%;3.89%;2.84
Sylas;Mage;MID;God;82.54;-2.58;50.15%;88.29%;12.44%;11.42%;2.19
Syndra;Mage;MID;God;89.42;47.15;50.22%;91.28%;14.37%;9.84%;2.28
Tahm Kench;Support;TOP;A;50.19;5.22;50.86%;54.34%;1.77%;1.00%;2.32
Tahm Kench;Support;SUPPORT;D;29.07;3.54;46.06%;35.01%;0.93%;1.00%;2.29
Taliyah;Mage;MID;B;43.83;-4.4;50.17%;48.61%;1.81%;1.66%;2.29
Taliyah;Mage;JUNGLE;D;34.74;2.17;48.76%;42.38%;1.73%;1.66%;2.68
Talon;Assassin;MID;B;44.08;-0.64;49.56%;49.81%;2.46%;1.75%;2.15
Talon;Assassin;JUNGLE;D;32.91;2.03;47.71%;47.10%;2.16%;1.75%;2.47
Taric;Support;SUPPORT;B;48.1;0.5;52.67%;89.68%;2.00%;0.42%;2.75
Teemo;Marksman;TOP;A;53.24;-0.82;51.00%;76.55%;4.21%;6.90%;1.77
Thresh;Support;SUPPORT;God;71.12;-0.18;49.76%;97.89%;10.43%;2.15%;2.67
Tristana;Marksman;ADC;S;58.72;5.63;52.11%;87.89%;9.62%;3.83%;2.45
Trundle;Fighter;JUNGLE;B;47.76;-1.37;51.32%;76.59%;3.16%;2.69%;2.81
Trundle;Fighter;TOP;C;40.9;-4.9;48.74%;19.85%;0.78%;2.69%;1.64
Tryndamere;Fighter;MID;A;49.99;9.71;56.33%;10.96%;0.33%;3.28%;2.28
Tryndamere;Fighter;TOP;A;48.16;0.64;50.09%;82.47%;2.61%;3.28%;1.86
Twisted Fate;Mage;MID;C;40.49;-0.71;47.95%;89.34%;2.05%;0.12%;2.29
Twitch;Marksman;ADC;A;52;0.14;51.32%;76.56%;7.02%;8.02%;2.45
Twitch;Marksman;SUPPORT;D;35.5;0;49.40%;10.30%;0.95%;8.02%;2.14
Udyr;Fighter;JUNGLE;God;73.53;-17.6;53.12%;75.42%;6.23%;24.35%;2.82
Udyr;Fighter;TOP;C;40.02;-4.57;46.19%;22.25%;1.84%;24.35%;1.72
Urgot;Fighter;TOP;A;52.21;0.2;51.74%;91.51%;2.79%;1.15%;2.02
Varus;Marksman;ADC;B;45.01;4.4;50.11%;73.01%;5.46%;1.07%;2.43
Varus;Marksman;MID;C;37.41;-0.28;46.96%;24.37%;1.93%;1.07%;2.1
Vayne;Marksman;ADC;B;45.01;-1.81;49.64%;72.22%;6.27%;8.95%;2.09
Vayne;Marksman;TOP;B;44.83;-0.65;49.65%;24.61%;1.99%;8.95%;1.56
Veigar;Mage;MID;A;49.25;-6.9;48.86%;74.82%;4.18%;3.03%;2.26
Veigar;Mage;ADC;C;36.13;-3.11;51.07%;14.11%;0.66%;3.03%;2.36
Vel'Koz;Mage;MID;B;46.09;0.08;51.61%;36.53%;0.98%;0.52%;2.76
Vel'Koz;Mage;SUPPORT;B;42.55;0.19;51.10%;59.73%;1.91%;0.54%;2.28
Vex;Mage;MID;S;63.51;-4.85;52.26%;93.89%;5.92%;8.81%;2.49
Vi;Fighter;JUNGLE;B;48.13;-3.27;50.23%;94.96%;4.28%;0.97%;2.52
Viego;Assassin;JUNGLE;S;68.63;3.28;49.33%;92.83%;9.32%;4.01%;2.44
Viktor;Mage;MID;S;66.99;-4.03;51.17%;95.69%;7.93%;5.94%;2.33
Vladimir;Mage;MID;S;55.89;-6.29;50.84%;77.62%;4.62%;8.25%;2.41
Vladimir;Mage;TOP;C;39.13;-7.61;46.28%;20.29%;1.13%;8.25%;1.98
Volibear;Fighter;JUNGLE;A;50.84;5.05;53.10%;55.51%;2.80%;1.83%;2.9
Volibear;Fighter;TOP;A;48.42;2.47;51.05%;41.35%;2.22%;1.83%;1.74
Warwick;Fighter;JUNGLE;A;51.35;-4.34;51.34%;68.04%;4.45%;4.26%;2.3
Warwick;Fighter;TOP;A;48.5;3.42;51.41%;29.69%;1.56%;4.26%;1.87
Wukong;Fighter;TOP;B;47.37;6.75;50.97%;35.57%;0.88%;1.12%;2.09
Wukong;Fighter;JUNGLE;D;31.66;1.06;48.07%;58.45%;1.50%;1.12%;2.62
Xayah;Marksman;ADC;C;39.14;2.87;49.19%;97.73%;3.93%;0.52%;2.31
Xerath;Mage;MID;A;51.39;0.51;51.41%;38.23%;1.91%;2.56%;3.26
Xerath;Mage;SUPPORT;A;50.46;-0.28;52.24%;57.57%;2.94%;2.56%;2.7
Xin Zhao;Fighter;JUNGLE;D;35.11;0.76;49.89%;88.22%;1.78%;0.29%;2.29
Yasuo;Fighter;MID;God;71.12;-9.66;48.08%;66.51%;9.66%;20.63%;1.75
Yasuo;Fighter;TOP;B;43.79;1.84;48.74%;15.22%;2.00%;20.63%;1.53
Yasuo;Fighter;ADC;D;34.61;-1.13;49.24%;17.08%;2.15%;20.63%;1.98
Yone;Assassin;MID;God;69.5;-3.25;50.60%;63.13%;8.77%;13.39%;1.96
Yone;Assassin;TOP;A;49.96;-0.92;49.02%;33.86%;4.35%;13.39%;1.68
Yorick;Fighter;TOP;A;49.23;-0.42;51.02%;91.41%;3.02%;3.02%;1.58
Yuumi;Support;SUPPORT;God;90.73;-1.82;46.64%;98.74%;11.03%;31.41%;4.07
Zac;Tank;JUNGLE;S;57.41;4.09;52.14%;76.45%;3.83%;3.40%;3.59
Zac;Tank;TOP;A;50.09;-4.96;51.25%;10.57%;0.54%;3.40%;2.64
Zed;Assassin;MID;God;82.18;-9.63;50.64%;75.44%;8.57%;35.73%;2.32
Zed;Assassin;JUNGLE;C;38.56;-2.13;47.80%;20.44%;2.14%;35.73%;2.58
Zeri;Marksman;ADC;D;22.98;-0.87;44.00%;90.68%;1.43%;0.72%;2.19
Ziggs;Mage;MID;B;43.56;-1.92;50.54%;58.28%;1.41%;0.24%;2.38
Ziggs;Mage;ADC;D;34.72;-3.74;49.83%;31.34%;0.69%;0.24%;2.52
Zilean;Support;SUPPORT;A;51.12;-0.94;51.47%;78.98%;3.02%;2.14%;3.14
Zilean;Support;MID;B;46.7;-2.21;51.00%;15.73%;0.59%;2.14%;3.34
Zoe;Mage;MID;A;51.81;1.74;50.73%;86.98%;3.36%;2.10%;2.66
Zoe;Mage;SUPPORT;D;27.48;1.75;46.66%;11.46%;0.39%;1.95%;2.07
Zyra;Mage;SUPPORT;A;50.01;-2.48;51.99%;88.30%;3.66%;2.44%;2.16
