Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;89.5;0.31;50.10%;90.37%;9.85%;20.80%;1.9
Ahri;Mage;MID;A;52.62;-2.26;49.64%;91.71%;5.37%;2.28%;2.4
Akali;Assassin;MID;S;61.16;-4.15;48.46%;75.48%;9.39%;15.86%;2.3
Akali;Assassin;TOP;B;41.14;-1.83;45.46%;23.39%;2.95%;15.86%;1.98
Akshan;Marksman;MID;A;49.05;-0.97;51.55%;64.06%;2.49%;3.87%;2.18
Akshan;Marksman;TOP;B;41.96;-0.32;51.55%;25.06%;0.88%;3.87%;1.97
Alistar;Tank;SUPPORT;B;44.24;1.74;49.49%;94.80%;2.63%;0.66%;2.38
Amumu;Tank;SUPPORT;A;51.53;1.56;51.94%;64.41%;3.58%;3.07%;2.12
Amumu;Tank;JUNGLE;C;40.62;3.33;51.55%;33.52%;2.10%;3.07%;2.68
Anivia;Mage;MID;A;50.12;-0.46;51.53%;76.09%;1.92%;1.78%;2.69
Anivia;Mage;SUPPORT;C;34.25;-0.71;48.66%;16.90%;0.41%;1.77%;2.22
Annie;Mage;MID;B;44.34;1.4;49.95%;75.60%;1.30%;0.49%;2.22
Annie;Mage;SUPPORT;D;26.13;-1.45;45.47%;14.61%;0.25%;0.54%;1.97
Aphelios;Marksman;ADC;D;29.66;-3.48;46.75%;96.51%;4.36%;0.77%;1.91
Ashe;Marksman;ADC;A;51.12;-4.79;50.37%;60.93%;7.69%;2.59%;2.31
Ashe;Marksman;SUPPORT;B;48.49;-0.59;48.86%;35.65%;4.29%;2.59%;2.29
Aurelion Sol;Mage;MID;B;42.52;-4.14;49.45%;84.41%;0.74%;0.36%;2.23
Azir;Mage;MID;C;37.89;-2.5;45.21%;87.01%;2.46%;0.73%;1.91
Bard;Support;SUPPORT;A;49.19;1.29;49.69%;96.02%;3.18%;0.58%;2.96
Bel'Veth;Fighter;JUNGLE;A;53.34;-4.33;51.20%;93.05%;4.15%;12.23%;2.35
Blitzcrank;Tank;SUPPORT;S;67.25;-1.21;50.87%;95.53%;6.95%;18.93%;2.38
Brand;Mage;SUPPORT;A;51.81;-0.72;51.06%;77.28%;4.35%;5.49%;1.86
Brand;Mage;MID;B;41.94;-3.46;49.74%;13.23%;0.78%;5.49%;1.96
Braum;Support;SUPPORT;B;40.9;-0.23;49.02%;96.71%;1.73%;0.33%;2.53
Caitlyn;Marksman;ADC;God;91.95;-0.48;49.98%;97.32%;18.88%;18.15%;2.19
Camille;Fighter;TOP;S;59.25;-3.21;50.10%;87.20%;5.43%;2.49%;1.93
Cassiopeia;Mage;MID;B;44.68;0.83;50.26%;73.85%;1.64%;1.40%;2.04
Cassiopeia;Mage;TOP;B;41.86;5.58;53.22%;12.97%;0.28%;1.40%;1.87
Cassiopeia;Mage;ADC;D;29.96;-4.81;51.01%;10.99%;0.23%;1.43%;2.17
Cho'Gath;Tank;MID;B;46.94;5.72;52.15%;19.80%;0.60%;1.20%;2.34
Cho'Gath;Tank;TOP;B;45.87;-3.55;49.66%;62.01%;2.54%;1.20%;2.04
Corki;Marksman;MID;B;43.17;1.76;49.66%;86.89%;1.00%;0.24%;2.19
Darius;Fighter;TOP;God;84.98;5.89;50.43%;91.16%;8.69%;23.39%;1.86
Diana;Fighter;JUNGLE;God;75.15;19.36;52.25%;71.28%;7.34%;4.53%;2.53
Diana;Fighter;MID;A;48.95;4.89;51.55%;25.45%;2.59%;4.53%;2.11
Dr. Mundo;Marksman;TOP;God;87.33;31.8;54.35%;75.54%;8.59%;13.19%;2
Dr. Mundo;Marksman;JUNGLE;B;47.88;-1.01;53.62%;19.22%;2.01%;13.19%;2.86
Draven;Fighter;ADC;A;51.88;3.66;50.86%;95.07%;6.61%;19.89%;2.08
Ekko;Assassin;JUNGLE;S;70.5;5.41;51.47%;68.32%;6.58%;5.58%;2.79
Ekko;Assassin;MID;A;49.66;2.61;51.14%;28.82%;2.80%;5.58%;2.3
