Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;90.98;-0.87;50.34%;92.60%;13.02%;20.39%;1.95
Ahri;Mage;MID;S;64.8;-8.9;49.23%;94.70%;7.58%;3.77%;2.53
Akali;Assassin;MID;God;68.63;-1.68;48.37%;73.73%;8.20%;15.01%;2.33
Akali;Assassin;TOP;B;42.58;-5.48;46.30%;25.38%;2.81%;15.01%;2
Akshan;Marksman;MID;A;48.74;2.96;50.67%;65.94%;2.82%;5.48%;2.22
Akshan;Marksman;TOP;B;46.48;7.28;52.01%;26.04%;1.05%;5.48%;2.01
Alistar;Tank;SUPPORT;B;45.5;-0.03;50.77%;95.78%;2.94%;0.59%;2.5
Amumu;Tank;SUPPORT;S;54.38;0.54;51.69%;65.65%;5.23%;5.59%;2.13
Amumu;Tank;JUNGLE;A;48.45;-3.44;51.25%;35.33%;3.09%;5.83%;2.67
Anivia;Mage;MID;A;51.26;-0.13;52.25%;79.06%;2.24%;2.41%;2.64
Anivia;Mage;SUPPORT;D;26.87;-6.76;46.63%;15.87%;0.38%;2.42%;2.24
Annie;Mage;MID;B;45.22;3.11;51.14%;82.22%;1.58%;0.53%;2.33
Annie;Mage;SUPPORT;D;27.8;-0.78;47.70%;11.01%;0.22%;0.58%;2.07
Aphelios;Marksman;ADC;D;35.05;0.69;46.48%;97.29%;4.66%;0.62%;2
Ashe;Marksman;SUPPORT;A;50.83;-3.76;49.66%;44.47%;5.21%;3.30%;2.41
Ashe;Marksman;ADC;A;48.37;2.35;50.65%;52.43%;6.20%;3.30%;2.4
Aurelion Sol;Mage;MID;D;39.12;1.19;49.33%;85.08%;0.72%;0.31%;2.39
Azir;Mage;MID;C;41.03;-9.98;45.77%;90.73%;3.54%;1.59%;2.05
Bard;Support;SUPPORT;A;48.69;-0.27;50.31%;95.79%;3.44%;0.83%;3.01
Bel'Veth;Fighter;JUNGLE;S;61.68;4.02;53.34%;96.58%;6.30%;20.88%;2.46
Blitzcrank;Tank;SUPPORT;S;57.38;2.13;50.17%;98.10%;6.12%;11.61%;2.44
Brand;Mage;SUPPORT;B;43.45;1.35;49.97%;73.31%;3.54%;4.40%;1.87
Brand;Mage;MID;C;40.43;0.25;50.61%;17.43%;0.87%;4.82%;2.02
Braum;Support;SUPPORT;D;39.54;0.62;48.92%;96.67%;2.04%;0.33%;2.71
Caitlyn;Marksman;ADC;God;65.69;-9.71;49.88%;96.99%;16.08%;8.15%;2.3
Camille;Fighter;TOP;S;59.24;3.32;50.15%;94.65%;6.21%;3.26%;1.97
Cassiopeia;Mage;MID;B;45.1;2.25;50.53%;78.12%;2.18%;1.81%;2.08
Cassiopeia;Mage;TOP;C;40.51;2.94;50.61%;12.83%;0.37%;1.78%;1.82
Cho'Gath;Tank;TOP;B;44.36;0.41;49.72%;64.24%;1.79%;0.69%;2.01
Cho'Gath;Tank;MID;C;42.03;5.95;51.51%;20.92%;0.43%;0.69%;2.37
Corki;Marksman;MID;D;32.99;-1.26;45.88%;91.51%;1.18%;0.20%;2.11
Darius;Fighter;TOP;God;77.85;-11.11;49.70%;93.70%;9.45%;26.80%;1.84
Diana;Fighter;JUNGLE;S;57.35;0.52;50.92%;79.98%;6.98%;9.58%;2.51
Diana;Fighter;MID;B;44.9;-1.1;51.34%;18.39%;1.55%;9.58%;2.09
Dr. Mundo;Marksman;TOP;A;49.76;-2.07;51.44%;82.38%;2.23%;1.44%;2.14
Draven;Fighter;ADC;A;54.24;-5.17;50.25%;95.16%;7.84%;27.80%;2.11
Ekko;Assassin;JUNGLE;A;49.82;-1.11;50.01%;62.51%;4.41%;2.42%;2.8
Ekko;Assassin;MID;B;44.61;0.1;49.24%;35.18%;2.42%;2.42%;2.28
Elise;Mage;JUNGLE;B;44.54;-2.75;49.99%;90.88%;2.31%;1.53%;2.73
Evelynn;Assassin;JUNGLE;B;44.78;-0.55;48.43%;98.01%;3.05%;3.81%;2.95
Ezreal;Marksman;ADC;S;62.32;0.74;48.32%;95.19%;16.27%;3.00%;2.46
Fiddlesticks;Mage;JUNGLE;A;52.82;0.42;51.78%;88.67%;4.28%;5.41%;2.81
Fiora;Fighter;TOP;S;61.88;-3;50.06%;97.52%;6.39%;16.02%;1.75
Fizz;Assassin;MID;B;47.39;-0.68;49.94%;94.62%;2.69%;3.38%;2.36
Galio;Tank;MID;A;53.01;1.13;53.21%;77.16%;2.12%;0.38%;2.75
Galio;Tank;SUPPORT;D;32.52;1.06;49.02%;18.30%;0.47%;0.40%;2.3
Gangplank;Fighter;TOP;A;52.16;-3.68;48.29%;75.51%;4.86%;5.98%;2.02
Gangplank;Fighter;MID;C;41.4;-1.06;48.98%;24.92%;1.72%;6.08%;2.18
Garen;Fighter;TOP;S;60.21;0.57;52.02%;83.75%;5.34%;2.58%;2.04
Gnar;Fighter;TOP;B;46.94;-2.56;48.27%;95.71%;3.77%;0.99%;1.85
Gragas;Fighter;TOP;B;43.5;-1.14;48.05%;49.32%;2.33%;0.73%;2.11
Gragas;Fighter;MID;B;42.65;-1.05;50.66%;19.66%;0.95%;0.66%;2.44
Gragas;Fighter;JUNGLE;C;42.19;-0.26;50.20%;21.63%;0.97%;0.66%;2.83
Gragas;Fighter;SUPPORT;D;30.71;-1.22;48.34%;10.45%;0.46%;0.66%;2.23
Graves;Marksman;JUNGLE;S;56.58;7.24;49.52%;87.22%;7.78%;4.49%;2.62
