Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;71.56;-0.63;50.02%;92.99%;6.94%;4.90%;1.93
Ahri;Mage;MID;God;94.69;5.22;51.89%;93.79%;13.42%;14.14%;2.51
Akali;Assassin;MID;S;66.07;-1.93;48.45%;62.38%;7.63%;19.12%;2.25
Akali;Assassin;TOP;A;56.17;-3.42;48.04%;36.84%;4.29%;19.12%;1.96
Akshan;Marksman;MID;A;53.89;0.15;51.90%;57.69%;3.36%;12.17%;2.22
Akshan;Marksman;TOP;B;42.76;-1.58;50.36%;32.37%;1.79%;12.17%;1.9
Alistar;Tank;SUPPORT;B;44.38;-1.32;49.14%;92.57%;3.33%;0.84%;2.45
Amumu;Tank;JUNGLE;B;42.95;-1.17;49.59%;85.47%;2.64%;1.12%;2.49
Amumu;Tank;SUPPORT;D;33.82;0.1;50.10%;12.74%;0.32%;1.20%;2.01
Anivia;Mage;MID;A;52.9;0.91;52.56%;78.92%;2.61%;2.78%;2.5
Anivia;Mage;SUPPORT;D;26.89;1.57;46.26%;13.26%;0.41%;2.77%;2.1
Annie;Mage;MID;A;47.45;2.48;51.84%;81.41%;1.78%;0.71%;2.29
Annie;Mage;SUPPORT;D;24.92;0;45.79%;10.81%;0.22%;0.74%;2.03
Aphelios;Marksman;ADC;D;30.87;-6.86;46.28%;96.99%;5.29%;1.20%;1.9
Ashe;Marksman;ADC;A;48.17;1.22;50.79%;78.60%;6.66%;1.10%;2.36
Ashe;Marksman;SUPPORT;C;36.54;9.71;49.08%;17.41%;1.26%;1.10%;2.34
Aurelion Sol;Mage;MID;B;43.92;-0.28;50.98%;88.94%;0.92%;0.34%;2.47
Azir;Mage;MID;C;39.32;6.21;47.71%;85.05%;2.20%;0.43%;1.98
Azir;Mage;TOP;D;22;0;46.45%;10.62%;0.25%;0.43%;1.62
Bard;Support;SUPPORT;B;41.69;-0.38;48.36%;95.70%;2.61%;0.53%;2.76
Blitzcrank;Tank;SUPPORT;S;69.35;-3.16;50.87%;98.52%;7.66%;19.60%;2.44
Brand;Mage;SUPPORT;A;48.68;6.52;51.04%;73.35%;3.99%;5.81%;1.82
Brand;Mage;MID;C;39.41;0.1;49.97%;15.49%;0.91%;6.32%;1.94
Braum;Support;SUPPORT;B;42.84;7.84;49.88%;98.43%;2.05%;0.34%;2.77
Caitlyn;Marksman;ADC;A;53.79;-3.4;48.13%;96.63%;10.77%;8.72%;2.14
Camille;Fighter;TOP;S;63.55;-1.83;49.79%;95.01%;5.76%;4.41%;1.86
Cassiopeia;Mage;MID;B;45.25;0.34;51.18%;69.41%;1.86%;1.45%;2.05
Cassiopeia;Mage;TOP;C;37.97;4.32;52.31%;17.69%;0.48%;1.45%;1.85
Cassiopeia;Mage;ADC;D;31.08;-2.89;50.73%;11.76%;0.29%;1.45%;2.32
Cho'Gath;Tank;TOP;A;48.68;2.2;51.23%;64.48%;2.50%;0.98%;2.09
Cho'Gath;Tank;MID;B;44.99;-0.81;52.28%;21.66%;0.69%;0.98%;2.35
Corki;Marksman;MID;C;39.51;-3.55;47.48%;90.96%;2.18%;0.61%;2.1
Darius;Fighter;TOP;God;91.61;16.95;50.49%;91.67%;8.77%;19.15%;1.78
Diana;Fighter;JUNGLE;God;73.75;-2.59;52.08%;85.59%;10.30%;14.20%;2.48
Diana;Fighter;MID;A;46.92;0.13;51.93%;13.18%;1.62%;14.20%;2.1
Dr. Mundo;Marksman;TOP;B;45.69;-3.2;50.50%;86.12%;2.27%;1.64%;2.07
Draven;Fighter;ADC;B;42.33;0.34;49.51%;93.73%;5.67%;10.55%;2.09
Ekko;Assassin;JUNGLE;A;57.44;0.75;51.80%;64.73%;5.64%;3.88%;2.71
Ekko;Assassin;MID;A;48.13;-0.09;50.52%;32.67%;2.77%;3.88%;2.21
Elise;Mage;JUNGLE;B;43.76;1.28;50.71%;91.40%;1.95%;1.10%;2.57
Evelynn;Assassin;JUNGLE;B;45.57;-1.22;48.67%;98.04%;3.59%;6.43%;2.72
Ezreal;Marksman;ADC;S;65.64;-0.64;48.49%;94.13%;15.21%;4.03%;2.27
Fiddlesticks;Mage;JUNGLE;B;45.81;0.21;50.34%;90.78%;2.84%;1.97%;2.62
Fiora;Fighter;TOP;God;73.69;-4.36;51.19%;97.42%;6.35%;13.98%;1.73
Fizz;Assassin;MID;A;55.37;1.45;51.72%;95.01%;3.84%;5.44%;2.41
Galio;Tank;MID;A;51.26;3.18;52.45%;62.50%;1.93%;0.44%;2.7
