Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;69.09;0.4;49.54%;92.37%;7.47%;5.81%;1.95
Ahri;Mage;MID;God;71.47;-1.62;51.08%;94.53%;8.58%;5.88%;2.66
Akali;Assassin;MID;S;66.02;5.61;48.20%;69.28%;8.45%;12.11%;2.37
Akali;Assassin;TOP;B;46.97;5.99;47.26%;29.94%;3.44%;12.11%;2.05
Akshan;Marksman;MID;B;43.54;-5.53;48.29%;58.06%;2.72%;6.43%;2.17
Akshan;Marksman;TOP;B;42.57;0.05;50.48%;34.08%;1.45%;6.43%;1.97
Alistar;Tank;SUPPORT;C;41.17;1.03;48.80%;96.58%;2.60%;0.56%;2.44
Amumu;Tank;JUNGLE;A;52.24;-2.35;52.97%;57.17%;3.40%;1.41%;2.76
Amumu;Tank;SUPPORT;B;43.19;0.91;51.30%;41.07%;1.91%;1.41%;2.22
Anivia;Mage;MID;A;47.44;-4.33;49.94%;80.60%;2.41%;2.85%;2.54
Anivia;Mage;SUPPORT;D;28.95;-0.05;45.98%;13.61%;0.38%;2.90%;2.22
Annie;Mage;MID;A;47.37;-1.24;51.73%;80.59%;1.58%;0.58%;2.38
Annie;Mage;SUPPORT;D;28.11;-2.01;46.12%;10.41%;0.20%;0.61%;2.07
Aphelios;Marksman;ADC;D;35.21;5.88;47.35%;96.76%;4.83%;0.62%;2.04
Ashe;Marksman;SUPPORT;A;53.07;0.19;49.59%;47.52%;6.18%;3.80%;2.45
Ashe;Marksman;ADC;B;47.28;-3.76;50.09%;49.46%;6.43%;3.80%;2.46
Aurelion Sol;Mage;MID;C;40.52;-0.43;49.24%;88.00%;0.83%;0.30%;2.48
Azir;Mage;MID;A;47.63;-1.15;48.46%;90.17%;3.85%;1.93%;2.24
Bard;Support;SUPPORT;A;49.98;0.07;50.84%;96.36%;3.51%;0.59%;3.07
Bel'Veth;Fighter;JUNGLE;God;88.76;-5.23;51.38%;95.40%;7.65%;45.27%;2.38
Blitzcrank;Tank;SUPPORT;S;57.5;0.51;50.39%;98.18%;6.47%;12.84%;2.47
Brand;Mage;SUPPORT;B;42.5;-2.5;49.50%;70.22%;3.22%;4.46%;1.87
Brand;Mage;MID;B;42.03;4.32;51.16%;19.10%;0.86%;4.89%;1.99
Braum;Support;SUPPORT;C;38.07;-2.14;47.36%;98.04%;1.99%;0.26%;2.78
Caitlyn;Marksman;ADC;A;48.6;-3.03;48.87%;95.92%;8.66%;5.34%;2.22
Camille;Fighter;TOP;S;59.5;1.21;50.62%;94.79%;5.03%;2.81%;2.03
Cassiopeia;Mage;MID;A;47.51;-0.76;51.48%;77.00%;2.09%;1.68%;2.18
Cassiopeia;Mage;TOP;C;38.38;1.05;51.20%;13.52%;0.39%;1.70%;1.88
Cho'Gath;Tank;TOP;B;44.38;-2.34;50.01%;66.70%;2.02%;0.72%;2.07
Cho'Gath;Tank;MID;B;42.87;3.03;51.45%;17.14%;0.43%;0.77%;2.33
Corki;Marksman;MID;C;41.74;-8.34;47.95%;93.26%;2.46%;0.44%;2.22
Darius;Fighter;TOP;God;92.45;0.26;50.95%;93.29%;9.54%;23.89%;1.89
Diana;Fighter;JUNGLE;God;92.25;29.44;52.41%;87.60%;11.82%;14.65%;2.6
Diana;Fighter;MID;B;46.26;0.52;51.47%;11.62%;1.53%;14.69%;2.16
Dr. Mundo;Marksman;TOP;A;51.5;3.95;51.78%;85.35%;2.54%;1.55%;2.23
Draven;Fighter;ADC;A;53.94;2.93;50.93%;94.10%;8.10%;16.71%;2.14
Ekko;Assassin;JUNGLE;S;56.33;4.62;50.58%;64.31%;5.69%;2.52%;2.76
Ekko;Assassin;MID;B;46.72;1.5;49.41%;32.88%;2.90%;2.52%;2.31
Elise;Mage;JUNGLE;C;38.88;-6.16;49.11%;89.22%;2.37%;0.79%;2.72
Evelynn;Assassin;JUNGLE;B;45.2;0.81;47.74%;98.38%;4.32%;4.94%;2.87
Ezreal;Marksman;ADC;S;65.07;-24.86;48.44%;94.59%;16.27%;4.01%;2.42
Fiddlesticks;Mage;JUNGLE;S;63.46;18.98;52.94%;86.00%;5.82%;4.16%;2.89
Fiora;Fighter;TOP;S;67.63;-7.14;50.40%;97.19%;6.03%;17.43%;1.77
Fizz;Assassin;MID;B;45.8;-2.23;48.92%;92.52%;2.69%;3.98%;2.42
Galio;Tank;MID;A;48.66;3.62;50.56%;78.08%;2.28%;0.41%;2.65
Galio;Tank;SUPPORT;D;34.22;3.56;48.33%;17.76%;0.54%;0.43%;2.33
Gangplank;Fighter;TOP;God;73.52;-0.86;48.86%;80.92%;7.94%;11.87%;2.07
