Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;A;55.11;-3.14;48.97%;94.09%;4.33%;1.97%;1.92
Ahri;Mage;MID;A;55.85;2.64;50.71%;93.24%;4.56%;1.04%;2.55
Akali;Assassin;TOP;God;87.73;29.87;49.70%;44.38%;6.19%;21.71%;2.13
Akali;Assassin;MID;S;74.58;9.28;49.85%;55.40%;8.26%;21.71%;2.42
Akshan;Marksman;MID;S;63.49;3.64;51.94%;59.70%;4.86%;23.10%;2.28
Akshan;Marksman;TOP;A;56.86;0.98;51.71%;33.35%;2.70%;23.10%;2
Alistar;Tank;SUPPORT;B;43.57;-2.51;50.07%;98.09%;3.26%;0.67%;2.5
Amumu;Tank;JUNGLE;A;53.55;7.86;52.93%;86.38%;3.74%;1.64%;2.68
Amumu;Tank;SUPPORT;D;31.37;-4.51;50.03%;12.29%;0.36%;1.64%;2.05
Anivia;Mage;MID;A;54.65;1.28;52.20%;82.13%;3.20%;2.91%;2.63
Anivia;Mage;SUPPORT;D;25.66;-6.07;47.11%;11.75%;0.40%;2.92%;2.14
Annie;Mage;MID;B;45.69;-3.12;50.77%;84.72%;1.99%;0.65%;2.39
Aphelios;Marksman;ADC;C;37.52;1.55;47.30%;98.31%;6.45%;1.26%;2.04
Ashe;Marksman;ADC;C;36.88;-6.2;48.52%;90.75%;4.40%;0.83%;2.27
Aurelion Sol;Mage;MID;B;41.78;-0.37;50.45%;88.01%;0.89%;0.26%;2.53
Azir;Mage;MID;C;33.91;1.22;47.43%;92.57%;1.11%;0.20%;2.09
Bard;Support;SUPPORT;A;48.36;-1.45;50.65%;97.43%;3.58%;0.87%;3.01
Blitzcrank;Tank;SUPPORT;S;72.94;5.14;52.80%;99.27%;8.28%;18.58%;2.46
Brand;Mage;SUPPORT;B;41.45;-3.75;48.71%;75.97%;4.18%;5.40%;1.78
Brand;Mage;MID;B;37.88;-3.33;50.04%;14.02%;0.80%;5.92%;1.98
Braum;Support;SUPPORT;B;40.45;-6.29;49.42%;99.06%;2.44%;0.33%;2.74
Caitlyn;Marksman;ADC;God;84.24;-4.25;50.12%;98.50%;18.96%;19.84%;2.31
Camille;Fighter;TOP;God;81.87;-2.74;50.36%;96.90%;6.64%;6.65%;2
Cassiopeia;Mage;MID;A;47.6;3.52;51.63%;71.07%;2.39%;1.43%;2.13
Cassiopeia;Mage;TOP;D;28.42;2.22;50.83%;19.16%;0.67%;1.39%;1.81
Cho'Gath;Tank;TOP;A;47.05;-5.71;50.94%;68.83%;2.57%;0.87%;2.14
Cho'Gath;Tank;MID;B;38.75;1;50.00%;19.46%;0.53%;0.87%;2.38
Corki;Marksman;MID;S;68.01;9.82;49.34%;93.02%;8.73%;6.56%;2.17
Darius;Fighter;TOP;God;83.17;-0.79;48.79%;95.80%;6.72%;15.35%;1.85
Diana;Fighter;JUNGLE;God;91.29;8.33;51.25%;86.44%;13.02%;19.18%;2.46
Diana;Fighter;MID;B;46.58;-2.47;51.14%;12.82%;1.94%;19.18%;2.16
Dr. Mundo;Marksman;TOP;A;58.14;-4.59;51.06%;91.82%;3.73%;2.69%;2.19
Draven;Fighter;ADC;B;44.81;-1.56;50.93%;94.91%;5.33%;10.37%;2.16
Ekko;Assassin;JUNGLE;A;57.22;1.29;50.44%;64.85%;6.17%;3.99%;2.74
Ekko;Assassin;MID;A;49.04;2.26;50.64%;33.14%;3.03%;3.99%;2.29
Elise;Mage;JUNGLE;B;41.41;0.82;50.37%;95.75%;2.12%;1.56%;2.56
Evelynn;Assassin;JUNGLE;A;47.98;-0.06;50.07%;98.88%;3.35%;8.33%;2.92
Ezreal;Marksman;ADC;S;71.21;-4.77;48.80%;97.15%;18.07%;5.07%;2.36
Fiddlesticks;Mage;JUNGLE;B;44.63;-1.37;50.43%;93.42%;2.75%;2.53%;2.7
Fiora;Fighter;TOP;God;78.31;3.22;50.41%;97.66%;6.17%;10.46%;1.77
Fizz;Assassin;MID;A;52.91;0.66;50.17%;96.17%;4.08%;4.45%;2.44
Galio;Tank;MID;B;44.05;-2.81;49.33%;61.58%;1.98%;0.43%;2.65
Galio;Tank;SUPPORT;D;28.64;-8.25;47.11%;35.02%;1.08%;0.43%;2.28
Gangplank;Fighter;TOP;A;60.8;-4.78;47.01%;87.53%;5.44%;4.02%;1.98
Gangplank;Fighter;MID;B;37.83;1.26;49.29%;12.80%;0.80%;4.00%;2.28
Garen;Fighter;TOP;God;77.32;3.32;50.46%;88.37%;6.33%;2.42%;2.06
Gnar;Fighter;TOP;A;47.37;0.28;49.37%;97.96%;3.21%;0.65%;2.03
Gragas;Fighter;TOP;B;42.66;5.2;48.39%;50.02%;2.72%;0.40%;2.28
Gragas;Fighter;JUNGLE;C;34.6;-1.51;47.84%;34.19%;1.60%;0.40%;2.7
Graves;Marksman;JUNGLE;A;55.91;-3.92;49.66%;70.68%;6.37%;6.21%;2.61
Graves;Marksman;TOP;C;36.78;-6;49.53%;22.57%;2.01%;6.21%;1.76
Gwen;Fighter;TOP;S;66.53;11.88;49.14%;75.56%;5.66%;4.20%;1.74
Gwen;Fighter;JUNGLE;C;37.68;-0.99;49.70%;21.69%;1.73%;4.20%;2.38
Hecarim;Fighter;JUNGLE;God;80.61;9.35;50.86%;99.35%;10.45%;15.56%;3
Heimerdinger;Mage;MID;B;39.53;3.64;51.01%;34.57%;0.79%;0.80%;1.95
Heimerdinger;Mage;ADC;C;35.21;1.2;52.58%;11.94%;0.23%;0.80%;2.14
Heimerdinger;Mage;SUPPORT;D;30.25;-3.59;50.36%;11.31%;0.18%;0.80%;1.79
Heimerdinger;Mage;TOP;D;21.13;-3.02;48.05%;41.90%;0.85%;0.80%;1.62
Illaoi;Fighter;TOP;C;33.12;-0.99;49.12%;93.87%;1.97%;2.42%;1.57
Irelia;Fighter;TOP;S;75.84;-5.51;49.48%;59.75%;5.69%;19.73%;1.61
