Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;90.73;-0.25;49.95%;93.20%;14.50%;26.23%;1.94
Ahri;Mage;MID;S;61.32;-3.47;49.37%;94.54%;6.92%;3.28%;2.48
Akali;Assassin;MID;S;67.06;-1.56;48.37%;74.49%;8.24%;14.46%;2.36
Akali;Assassin;TOP;B;44.92;2.34;47.21%;24.65%;2.74%;14.46%;2.03
Akshan;Marksman;MID;A;49.99;1.25;51.65%;65.06%;2.63%;5.04%;2.23
Akshan;Marksman;TOP;B;44.2;-2.29;49.70%;26.53%;1.03%;5.04%;2.02
Alistar;Tank;SUPPORT;C;40.54;-4.97;48.85%;95.94%;2.92%;0.60%;2.45
Amumu;Tank;SUPPORT;S;58.84;4.46;52.08%;66.10%;5.70%;6.91%;2.12
Amumu;Tank;JUNGLE;A;48.8;0.35;52.08%;35.04%;3.21%;6.75%;2.64
Anivia;Mage;MID;A;51.35;0.08;51.75%;78.98%;2.33%;2.41%;2.69
Anivia;Mage;SUPPORT;D;27.11;0.24;47.85%;15.65%;0.41%;2.47%;2.2
Annie;Mage;MID;B;43.26;-1.96;49.37%;77.66%;1.78%;0.56%;2.35
Annie;Mage;SUPPORT;D;14.55;-13.24;43.08%;15.39%;0.32%;0.57%;1.89
Aphelios;Marksman;ADC;C;34.94;-0.1;46.51%;97.27%;5.61%;0.66%;2.02
Ashe;Marksman;ADC;S;56.84;8.47;50.68%;67.09%;10.09%;3.74%;2.43
Ashe;Marksman;SUPPORT;B;47.41;-3.42;48.76%;30.22%;4.64%;3.74%;2.37
Aurelion Sol;Mage;MID;C;37.97;-1.15;48.62%;85.77%;0.59%;0.28%;2.35
Azir;Mage;MID;C;39.4;-1.63;44.56%;91.07%;3.73%;1.46%;2.05
Bard;Support;SUPPORT;B;47.19;-1.5;49.81%;96.34%;3.38%;0.94%;2.98
Bel'Veth;Fighter;JUNGLE;God;78.16;16.47;52.52%;95.82%;6.98%;22.40%;2.47
Blitzcrank;Tank;SUPPORT;S;61.67;4.29;50.35%;97.49%;6.53%;11.75%;2.42
Brand;Mage;SUPPORT;B;46.03;2.58;50.83%;71.40%;3.68%;4.55%;1.88
Brand;Mage;MID;C;34.95;-5.48;47.41%;16.25%;0.91%;4.99%;1.96
Braum;Support;SUPPORT;C;38.67;-0.86;49.23%;97.45%;2.09%;0.30%;2.58
