Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;82.46;7.44;49.68%;92.25%;7.89%;6.32%;1.88
Ahri;Mage;MID;God;87.83;-4.51;51.98%;94.27%;12.29%;15.70%;2.47
Akali;Assassin;MID;S;63.11;-2.97;48.68%;65.49%;7.29%;16.67%;2.26
Akali;Assassin;TOP;A;51.22;-1.29;47.95%;33.57%;3.52%;16.67%;1.96
Akshan;Marksman;MID;A;51.13;0.16;50.99%;59.83%;3.16%;10.11%;2.13
Akshan;Marksman;TOP;B;40.42;-1.49;50.72%;30.23%;1.46%;10.11%;1.88
Alistar;Tank;SUPPORT;A;47.11;-0.47;50.40%;95.63%;3.38%;0.82%;2.49
Amumu;Tank;JUNGLE;C;35.83;5.36;49.54%;81.01%;2.32%;0.99%;2.43
Amumu;Tank;SUPPORT;D;31.54;4.65;49.23%;14.95%;0.30%;1.05%;1.97
Anivia;Mage;MID;A;53.37;0.54;52.74%;77.74%;2.50%;2.57%;2.48
Anivia;Mage;SUPPORT;D;26.06;-5.55;46.20%;14.84%;0.40%;2.60%;2.06
Annie;Mage;MID;B;46.07;1.3;50.88%;80.22%;1.73%;0.79%;2.21
Annie;Mage;SUPPORT;C;34.41;5.77;50.60%;11.97%;0.23%;0.83%;2.04
Aphelios;Marksman;ADC;C;32.65;3.8;45.98%;97.28%;5.39%;1.06%;1.88
Ashe;Marksman;ADC;A;49.01;0.78;50.47%;79.14%;6.74%;1.08%;2.3
Ashe;Marksman;SUPPORT;C;38.2;0.07;49.72%;16.46%;1.38%;1.08%;2.38
Aurelion Sol;Mage;MID;B;42.94;-2.35;50.45%;84.81%;0.77%;0.32%;2.3
Azir;Mage;MID;B;42.19;3.3;49.15%;85.66%;1.76%;0.36%;2.06
Bard;Support;SUPPORT;A;51.03;5.31;50.86%;96.47%;3.67%;0.73%;2.91
Blitzcrank;Tank;SUPPORT;S;63.59;-3.52;50.33%;98.06%;6.85%;17.19%;2.38
Brand;Mage;SUPPORT;B;42.96;-5.87;49.11%;69.07%;3.67%;5.59%;1.75
Brand;Mage;MID;C;38.3;-3.87;48.86%;15.19%;0.85%;6.10%;1.9
Brand;Mage;ADC;C;33.44;0;52.62%;10.42%;0.44%;6.10%;2.12
Braum;Support;SUPPORT;B;39.61;-0.28;48.72%;97.77%;2.05%;0.34%;2.64
Caitlyn;Marksman;ADC;A;55.22;-1.47;47.95%;96.74%;10.25%;7.41%;2.08
Camille;Fighter;TOP;S;63.63;-2.23;50.37%;94.42%;5.10%;3.80%;1.87
Cassiopeia;Mage;MID;B;43.88;-2.53;50.01%;71.64%;1.87%;1.46%;2.02
Cassiopeia;Mage;TOP;C;35.47;5.02;52.17%;15.06%;0.42%;1.46%;1.81
Cassiopeia;Mage;ADC;D;28.08;-6.74;50.02%;11.06%;0.31%;1.46%;2.21
Cho'Gath;Tank;TOP;B;42.75;-4.52;49.52%;65.75%;2.30%;0.89%;1.98
Cho'Gath;Tank;MID;B;40.89;-6.11;49.60%;21.15%;0.62%;0.89%;2.29
Corki;Marksman;MID;B;38.99;0.9;47.39%;91.07%;1.80%;0.44%;2.04
Darius;Fighter;TOP;God;91.46;0.45;49.61%;92.33%;7.97%;19.72%;1.76
Diana;Fighter;JUNGLE;God;86.74;1.9;51.81%;82.93%;9.26%;12.19%;2.47
Diana;Fighter;MID;B;46.03;-4.08;50.96%;15.47%;1.72%;12.19%;2.06
Dr. Mundo;Marksman;TOP;A;47.69;2.49;51.53%;85.38%;2.19%;1.46%;2.07
Draven;Fighter;ADC;B;43.19;-0.59;49.03%;94.12%;5.77%;10.71%;2.02
Ekko;Assassin;JUNGLE;A;57.97;0.47;50.58%;66.10%;5.40%;3.93%;2.67
Ekko;Assassin;MID;B;44.82;-0.34;48.85%;31.22%;2.60%;3.93%;2.14
Elise;Mage;JUNGLE;D;31.94;-3.67;49.28%;92.33%;1.66%;0.84%;2.49
Evelynn;Assassin;JUNGLE;B;41.15;-3.79;48.16%;98.20%;3.39%;6.04%;2.75
Ezreal;Marksman;ADC;God;87.44;12.37;49.16%;95.36%;19.67%;4.77%;2.3
Fiddlesticks;Mage;JUNGLE;A;47.94;6.63;50.88%;90.56%;3.55%;2.52%;2.65
Fiora;Fighter;TOP;God;77.53;0.16;50.94%;97.20%;6.26%;14.50%;1.71
Fizz;Assassin;MID;A;54.62;-0.61;51.54%;94.56%;3.76%;5.39%;2.34
Galio;Tank;MID;A;49.05;-0.47;51.18%;63.94%;1.87%;0.42%;2.57
Galio;Tank;SUPPORT;C;35.92;2.32;49.69%;31.77%;0.96%;0.42%;2.22
Gangplank;Fighter;TOP;God;87.57;3.31;48.23%;85.38%;8.42%;12.28%;1.92
Gangplank;Fighter;MID;B;39.18;-1.82;47.48%;13.26%;1.40%;12.28%;2.15
Garen;Fighter;TOP;S;76.26;3.32;52.01%;84.04%;6.32%;3.43%;1.93
Gnar;Fighter;TOP;A;47.25;1.34;48.84%;96.12%;3.41%;0.74%;1.83
Gragas;Fighter;MID;B;44.16;1.1;51.44%;11.92%;0.48%;0.36%;2.35
Gragas;Fighter;TOP;C;34.32;-2.56;46.47%;54.83%;2.19%;0.38%;1.95
Gragas;Fighter;SUPPORT;C;33.27;3.62;49.16%;13.25%;0.46%;0.38%;2.27
Gragas;Fighter;JUNGLE;D;21.04;-6.71;46.95%;20.02%;0.73%;0.38%;2.55
Graves;Marksman;JUNGLE;God;85.17;7.98;49.70%;73.51%;9.92%;10.62%;2.5
Graves;Marksman;TOP;B;44.89;-4.01;49.50%;20.11%;2.62%;10.62%;1.7
Gwen;Fighter;TOP;B;42.7;-1.24;48.72%;77.62%;2.93%;1.59%;1.67
Gwen;Fighter;JUNGLE;D;28.19;-1.48;50.25%;18.09%;0.69%;1.59%;2.34
Hecarim;Fighter;JUNGLE;C;34.08;-6.28;45.84%;96.64%;3.51%;3.60%;2.58
Heimerdinger;Mage;MID;B;39.06;-1.79;49.51%;38.66%;0.85%;0.94%;1.86
Heimerdinger;Mage;TOP;D;31.81;1.26;50.61%;34.56%;0.68%;0.94%;1.6
Heimerdinger;Mage;SUPPORT;D;31.46;-3.92;49.76%;10.89%;0.21%;0.94%;1.79
Heimerdinger;Mage;ADC;D;27.84;-3.72;50.39%;20.23%;0.33%;0.89%;2.04
