Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;81.21;12.12;50.86%;92.78%;9.09%;8.06%;2.04
Ahri;Mage;MID;S;65.37;-6.11;49.61%;94.23%;7.63%;4.83%;2.57
Akali;Assassin;MID;God;79.04;13.02;48.50%;68.77%;11.10%;14.30%;2.4
Akali;Assassin;TOP;A;49.91;2.94;45.96%;30.16%;4.54%;14.30%;2.03
Akshan;Marksman;MID;A;48.21;4.67;50.61%;62.53%;2.70%;6.15%;2.21
Akshan;Marksman;TOP;B;45.94;3.37;52.11%;30.05%;1.34%;6.15%;2.11
Alistar;Tank;SUPPORT;B;43.36;2.2;49.12%;96.85%;3.38%;0.67%;2.47
Amumu;Tank;SUPPORT;B;45.99;2.8;52.62%;44.10%;2.33%;1.90%;2.21
Amumu;Tank;JUNGLE;B;45.06;-7.17;49.67%;54.76%;3.68%;1.90%;2.66
Anivia;Mage;MID;A;48.96;1.53;51.07%;79.13%;2.12%;2.61%;2.6
Anivia;Mage;SUPPORT;D;30.87;1.93;47.77%;14.88%;0.36%;2.62%;2.19
Annie;Mage;MID;B;46.05;-1.33;51.45%;78.37%;1.46%;0.52%;2.36
Annie;Mage;SUPPORT;D;27.52;-0.58;46.51%;11.08%;0.19%;0.55%;2.08
Aphelios;Marksman;ADC;D;32.87;-2.34;46.24%;97.08%;5.98%;0.74%;1.97
Ashe;Marksman;SUPPORT;S;56.4;3.33;50.24%;49.92%;6.84%;4.35%;2.46
Ashe;Marksman;ADC;B;47.62;0.34;50.14%;47.22%;6.63%;4.35%;2.43
Aurelion Sol;Mage;MID;C;37.66;-2.86;48.09%;86.15%;1.01%;0.32%;2.33
Azir;Mage;MID;B;47.07;-0.56;48.17%;90.17%;3.94%;2.04%;2.16
Bard;Support;SUPPORT;A;50.03;0.05;51.05%;96.85%;3.64%;0.58%;3.01
Bel'Veth;Fighter;JUNGLE;God;72.79;-15.97;52.64%;95.88%;5.99%;32.75%;2.51
Blitzcrank;Tank;SUPPORT;S;57.87;0.38;49.81%;97.91%;6.90%;13.28%;2.41
Brand;Mage;SUPPORT;B;42.57;0.08;49.86%;73.79%;3.29%;4.35%;1.86
Brand;Mage;MID;B;41.92;-0.11;51.17%;17.57%;0.81%;4.77%;2.08
Braum;Support;SUPPORT;B;41.72;3.65;49.68%;98.19%;2.01%;0.27%;2.79
Caitlyn;Marksman;ADC;A;54.49;5.89;49.68%;96.13%;9.44%;5.01%;2.23
Camille;Fighter;TOP;A;53.59;-5.91;48.98%;94.27%;4.71%;2.64%;1.93
Cassiopeia;Mage;MID;A;48.24;0.74;52.04%;77.46%;2.19%;2.02%;2.08
Cassiopeia;Mage;TOP;D;34.35;-4.03;49.74%;13.05%;0.39%;2.09%;1.82
Cho'Gath;Tank;TOP;B;43.89;-0.49;50.12%;65.04%;1.90%;0.70%;2.11
Cho'Gath;Tank;MID;C;40.72;-2.14;50.56%;20.95%;0.46%;0.70%;2.33
Corki;Marksman;MID;C;38.43;-3.3;47.83%;91.74%;1.79%;0.37%;2.08
Darius;Fighter;TOP;God;93.15;0.7;51.06%;93.07%;9.40%;25.56%;1.9
Diana;Fighter;JUNGLE;God;94.13;1.88;52.05%;88.02%;11.18%;20.44%;2.6
Diana;Fighter;MID;A;49.57;3.31;53.18%;11.40%;1.42%;20.58%;2.2
Dr. Mundo;Marksman;TOP;A;49.36;-2.14;51.27%;83.38%;2.50%;1.54%;2.13
