Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;S;75.02;3.47;49.34%;92.82%;7.26%;5.47%;1.87
Ahri;Mage;MID;God;92.34;-2.35;51.92%;94.13%;13.77%;16.33%;2.5
Akali;Assassin;MID;S;66.08;0.02;50.03%;64.33%;7.60%;17.69%;2.27
Akali;Assassin;TOP;A;52.51;-3.66;47.66%;34.76%;3.78%;17.69%;1.96
Akshan;Marksman;MID;A;50.97;-2.92;50.98%;59.83%;3.27%;10.74%;2.18
Akshan;Marksman;TOP;B;41.91;-0.86;50.94%;30.40%;1.57%;10.74%;1.88
Alistar;Tank;SUPPORT;A;47.58;3.2;50.18%;95.39%;3.52%;0.83%;2.47
Amumu;Tank;JUNGLE;D;30.47;-12.48;47.02%;83.29%;2.47%;1.06%;2.4
Amumu;Tank;SUPPORT;D;26.89;-6.93;46.74%;13.70%;0.31%;1.12%;1.95
Anivia;Mage;MID;A;52.83;-0.07;52.93%;76.51%;2.46%;2.73%;2.52
Anivia;Mage;SUPPORT;C;31.61;4.72;48.35%;15.26%;0.43%;2.73%;2.17
Annie;Mage;MID;B;44.77;-2.68;50.37%;80.43%;1.80%;0.77%;2.24
Annie;Mage;SUPPORT;D;28.64;3.72;47.56%;12.04%;0.26%;0.86%;2.01
Aphelios;Marksman;ADC;D;28.85;-2.02;46.02%;97.18%;5.45%;1.06%;1.9
Ashe;Marksman;ADC;A;48.23;0.07;51.09%;77.08%;6.45%;1.13%;2.33
Ashe;Marksman;SUPPORT;B;38.13;1.59;49.38%;18.43%;1.45%;1.13%;2.35
Aurelion Sol;Mage;MID;B;45.29;1.37;51.68%;87.94%;0.91%;0.34%;2.41
Azir;Mage;MID;B;38.89;-0.43;47.67%;86.75%;1.80%;0.33%;2.05
Bard;Support;SUPPORT;B;45.72;4.03;49.90%;96.28%;2.66%;0.48%;2.86
Blitzcrank;Tank;SUPPORT;S;67.11;-2.23;50.53%;98.32%;7.34%;18.38%;2.43
Brand;Mage;SUPPORT;A;48.84;0.16;51.27%;72.15%;3.88%;5.83%;1.77
Brand;Mage;MID;B;42.17;2.76;51.19%;14.99%;0.84%;6.35%;1.96
Braum;Support;SUPPORT;B;39.89;-2.96;48.38%;98.01%;2.03%;0.34%;2.75
Caitlyn;Marksman;ADC;A;56.68;2.9;48.00%;96.38%;10.85%;8.05%;2.13
Camille;Fighter;TOP;S;65.86;2.32;50.53%;94.71%;5.52%;4.03%;1.88
Cassiopeia;Mage;MID;B;46.42;1.17;51.68%;73.08%;1.88%;1.48%;2.05
Cassiopeia;Mage;ADC;C;34.82;3.74;54.17%;11.54%;0.28%;1.47%;2.28
Cassiopeia;Mage;TOP;D;30.45;-7.52;49.66%;14.58%;0.43%;1.48%;1.85
Cho'Gath;Tank;TOP;A;47.27;-1.4;50.92%;64.97%;2.38%;0.97%;2.08
Cho'Gath;Tank;MID;A;46.99;2.01;53.07%;22.00%;0.62%;0.97%;2.42
Corki;Marksman;MID;B;38.09;-1.42;46.69%;89.86%;2.11%;0.52%;2.05
Darius;Fighter;TOP;God;91.01;-0.61;50.07%;92.12%;8.08%;19.65%;1.79
Diana;Fighter;JUNGLE;God;84.84;11.09;51.63%;83.04%;9.58%;12.83%;2.47
Diana;Fighter;MID;A;50.12;3.2;53.42%;15.36%;1.71%;12.83%;2.14
Dr. Mundo;Marksman;TOP;B;45.19;-0.5;50.58%;84.95%;2.19%;1.54%;2.05
Draven;Fighter;ADC;B;43.79;1.46;50.39%;94.27%;5.68%;10.50%;2.05
Ekko;Assassin;JUNGLE;A;57.5;0.06;50.56%;65.79%;5.51%;3.99%;2.68
Ekko;Assassin;MID;B;45.15;-2.98;49.20%;31.91%;2.67%;3.99%;2.17
Elise;Mage;JUNGLE;C;35.61;-8.15;49.96%;91.41%;1.79%;0.94%;2.52
Evelynn;Assassin;JUNGLE;B;44.94;-0.63;49.25%;98.28%;3.51%;6.21%;2.78
Ezreal;Marksman;ADC;S;75.07;9.42;48.93%;95.23%;15.78%;3.63%;2.3
