Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;90.44;-0.01;49.20%;94.58%;12.38%;32.81%;1.88
Ahri;Mage;MID;A;54.22;-1.79;48.53%;94.22%;5.50%;2.35%;2.49
Akali;Assassin;MID;God;74.61;5.58;48.11%;77.18%;10.29%;16.58%;2.39
Akali;Assassin;TOP;B;45.02;1.35;47.15%;22.19%;3.00%;16.58%;2
Akshan;Marksman;MID;A;49.57;5.55;51.28%;63.42%;2.80%;4.99%;2.24
Akshan;Marksman;TOP;C;41.96;-2.72;49.18%;26.36%;1.17%;4.99%;1.93
Alistar;Tank;SUPPORT;C;42.32;-0.23;48.92%;95.84%;2.88%;0.63%;2.43
Amumu;Tank;SUPPORT;S;55.45;-7.24;52.14%;67.48%;5.36%;8.04%;2.11
Amumu;Tank;JUNGLE;B;46.75;-1.63;50.91%;31.46%;2.84%;8.04%;2.62
Anivia;Mage;MID;A;50.9;1.47;51.62%;78.84%;2.39%;2.10%;2.68
Anivia;Mage;SUPPORT;D;31.6;-2.55;47.50%;14.16%;0.40%;2.10%;2.21
Annie;Mage;MID;C;42.41;1.38;49.88%;70.79%;1.42%;0.48%;2.34
Annie;Mage;SUPPORT;D;16.16;1.95;40.65%;20.72%;0.36%;0.50%;1.74
Aphelios;Marksman;ADC;C;40.37;-0.22;46.18%;98.06%;8.50%;1.12%;1.99
Ashe;Marksman;ADC;A;53.44;1.1;50.72%;67.32%;8.52%;2.59%;2.41
Ashe;Marksman;SUPPORT;B;45.29;1.32;49.14%;30.05%;3.78%;2.59%;2.38
Aurelion Sol;Mage;MID;B;45.82;5.67;52.07%;86.27%;0.64%;0.30%;2.66
Azir;Mage;MID;C;42.3;-0.09;45.74%;93.21%;4.28%;1.52%;2.07
Bard;Support;SUPPORT;B;47.01;3.73;50.03%;96.42%;3.00%;0.82%;2.93
Bel'Veth;Fighter;JUNGLE;God;74.23;-3.13;52.71%;96.51%;7.18%;30.80%;2.51
Blitzcrank;Tank;SUPPORT;God;80.52;-6.25;53.63%;75.11%;9.31%;28.46%;2.55
Blitzcrank;Tank;JUNGLE;B;42.76;2.44;47.59%;22.68%;3.09%;28.46%;2.43
Brand;Mage;SUPPORT;B;47.15;-0.42;51.55%;73.57%;3.44%;3.96%;1.89
