Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;S;72.19;-5.85;49.43%;92.34%;7.01%;4.24%;1.89
Ahri;Mage;MID;God;89.47;-5.98;51.54%;92.89%;12.50%;13.82%;2.49
Akali;Assassin;MID;S;68;-1.6;48.85%;61.87%;7.92%;18.92%;2.3
Akali;Assassin;TOP;S;59.59;3.36;48.24%;37.35%;4.53%;18.92%;2.01
Akshan;Marksman;MID;A;53.74;0.8;51.51%;56.39%;3.47%;13.97%;2.22
Akshan;Marksman;TOP;B;44.34;-5.41;50.51%;33.88%;1.97%;13.97%;1.93
Alistar;Tank;SUPPORT;B;45.7;1.8;50.64%;96.81%;3.56%;0.80%;2.5
Amumu;Tank;JUNGLE;B;44.12;-0.12;49.76%;84.03%;2.74%;1.33%;2.5
Amumu;Tank;SUPPORT;C;33.72;-3.31;52.00%;13.25%;0.32%;1.43%;2.04
Anivia;Mage;MID;A;52;-1.61;52.07%;77.74%;2.63%;2.82%;2.53
Anivia;Mage;SUPPORT;D;25.32;-8.08;47.77%;14.40%;0.39%;2.82%;2.12
Annie;Mage;MID;B;44.97;-4.05;50.54%;81.69%;1.85%;0.71%;2.24
Aphelios;Marksman;ADC;C;37.73;-7.63;46.57%;97.21%;7.70%;1.70%;1.95
Ashe;Marksman;ADC;A;46.95;1.39;50.85%;84.43%;6.42%;0.95%;2.36
Ashe;Marksman;SUPPORT;D;26.83;0;47.23%;12.20%;0.84%;0.95%;2.32
Aurelion Sol;Mage;MID;B;44.2;-6.31;50.87%;87.31%;1.04%;0.36%;2.49
Azir;Mage;MID;D;33.12;-0.38;45.61%;87.03%;1.39%;0.27%;1.96
Bard;Support;SUPPORT;B;42.07;-4.25;49.75%;96.36%;2.67%;0.49%;2.88
Blitzcrank;Tank;SUPPORT;S;72.51;13.09;50.48%;98.01%;8.41%;20.73%;2.41
Brand;Mage;SUPPORT;B;42.16;-4.08;49.27%;71.23%;4.00%;5.71%;1.78
Brand;Mage;MID;C;39.31;-2.87;49.86%;16.41%;0.93%;5.71%;1.93
Braum;Support;SUPPORT;C;35.01;-4.87;48.09%;97.99%;2.02%;0.33%;2.69
Caitlyn;Marksman;ADC;A;57.19;1.67;47.94%;96.93%;12.42%;10.20%;2.15
Camille;Fighter;TOP;S;65.37;-1.71;49.72%;94.79%;5.82%;4.64%;1.87
Cassiopeia;Mage;MID;B;44.91;-4.06;50.48%;69.77%;2.19%;1.76%;2.02
Cassiopeia;Mage;ADC;C;33.97;-7.3;52.04%;11.57%;0.37%;1.76%;2.26
Cassiopeia;Mage;TOP;C;33.65;-0.07;50.81%;17.42%;0.56%;1.76%;1.84
Cho'Gath;Tank;TOP;B;46.47;-1.53;50.42%;64.70%;2.50%;0.98%;2.08
Cho'Gath;Tank;MID;B;45.79;10.23;52.69%;21.93%;0.67%;0.98%;2.4
Corki;Marksman;MID;B;43.06;-1.74;48.46%;91.20%;2.63%;0.97%;2.1
Darius;Fighter;TOP;God;74.66;-4.68;49.53%;92.81%;6.63%;14.96%;1.77
Diana;Fighter;JUNGLE;God;76.34;-3.47;52.10%;85.94%;10.74%;13.96%;2.47
Diana;Fighter;MID;B;46.79;-1.54;51.97%;12.68%;1.58%;13.96%;2.12
Dr. Mundo;Marksman;TOP;A;48.88;2.24;51.90%;84.87%;2.30%;1.94%;2.09
Draven;Fighter;ADC;B;41.98;-1.03;49.59%;93.76%;5.78%;9.48%;2.09
Ekko;Assassin;JUNGLE;A;56.68;-1.51;51.09%;62.49%;5.63%;3.85%;2.71
Ekko;Assassin;MID;A;48.22;1.94;50.14%;34.86%;3.05%;3.85%;2.19
Elise;Mage;JUNGLE;B;42.47;-1.09;49.84%;93.41%;2.04%;1.12%;2.54
Evelynn;Assassin;JUNGLE;B;46.8;2.25;49.17%;98.53%;3.41%;6.37%;2.77
Ezreal;Marksman;ADC;S;66.29;4.49;48.26%;94.28%;16.33%;3.94%;2.29
Fiddlesticks;Mage;JUNGLE;B;45.6;0.35;49.98%;90.92%;2.91%;2.14%;2.59
Fiora;Fighter;TOP;God;78.04;-1.65;51.09%;97.28%;6.70%;13.68%;1.72
Fizz;Assassin;MID;A;53.91;2.5;50.94%;94.44%;3.88%;5.52%;2.41
Galio;Tank;MID;A;48.07;2.19;51.13%;61.47%;1.83%;0.40%;2.65
Galio;Tank;SUPPORT;D;30.98;-9.79;48.73%;34.66%;1.03%;0.40%;2.36
Gangplank;Fighter;TOP;S;62.05;-1.65;48.20%;85.62%;5.78%;4.37%;1.96
Gangplank;Fighter;MID;C;39.01;5.56;49.15%;12.89%;0.95%;4.37%;2.13
Garen;Fighter;TOP;God;72.72;-2.79;50.78%;86.46%;6.55%;3.29%;1.97
Gnar;Fighter;TOP;A;52.42;-1.49;48.87%;96.84%;4.34%;0.92%;1.83
Gragas;Fighter;JUNGLE;C;39.53;4.55;49.59%;22.32%;0.80%;0.31%;2.75
Gragas;Fighter;TOP;C;37.21;-4.12;47.11%;56.71%;2.26%;0.31%;2.09
Gragas;Fighter;SUPPORT;D;25.05;0;47.41%;10.53%;0.36%;0.31%;2.26
Graves;Marksman;JUNGLE;S;62.33;-2.51;50.62%;62.76%;7.61%;8.07%;2.64
Graves;Marksman;TOP;A;50.69;-18.84;49.61%;30.68%;3.63%;8.07%;1.69
Gwen;Fighter;TOP;C;33.64;-30.46;45.68%;61.78%;2.66%;5.20%;1.6
Gwen;Fighter;JUNGLE;D;28.95;-21.49;45.06%;34.59%;1.50%;5.20%;2.15
Hecarim;Fighter;JUNGLE;God;83.62;6.71;51.21%;99.04%;10.84%;22.23%;3.05
Heimerdinger;Mage;MID;B;39.83;-3.24;50.39%;37.64%;0.91%;1.08%;1.89
Heimerdinger;Mage;ADC;C;39.3;-2.72;54.78%;17.11%;0.30%;1.08%;2.18
Heimerdinger;Mage;TOP;D;29.33;3.9;49.07%;35.36%;0.81%;1.08%;1.59
Illaoi;Fighter;TOP;A;47.34;-4.16;51.05%;93.48%;3.00%;3.75%;1.47
Irelia;Fighter;TOP;God;83.11;-6.35;50.08%;57.85%;7.15%;22.15%;1.6
