Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;91;0.57;49.42%;94.32%;12.13%;31.55%;1.85
Ahri;Mage;MID;S;61.97;7.76;50.28%;94.59%;6.77%;2.49%;2.56
Akali;Assassin;MID;God;74.9;0.29;48.38%;78.50%;10.25%;17.63%;2.37
Akali;Assassin;TOP;B;43.63;-1.39;46.88%;20.81%;2.77%;17.63%;2.07
Akshan;Marksman;MID;B;47.3;-2.26;51.08%;64.24%;2.35%;4.52%;2.21
Akshan;Marksman;TOP;B;41.11;-0.84;49.54%;27.08%;0.95%;4.52%;1.94
Alistar;Tank;SUPPORT;C;40.95;-1.38;48.84%;95.58%;2.67%;0.63%;2.38
Amumu;Tank;SUPPORT;A;49.86;-5.58;51.09%;63.21%;4.25%;6.18%;2.08
Amumu;Tank;JUNGLE;A;49.82;3.07;53.00%;35.76%;2.85%;6.18%;2.68
Anivia;Mage;MID;A;51.38;0.47;52.30%;80.24%;2.21%;2.01%;2.66
Anivia;Mage;SUPPORT;D;27.59;-4.01;46.22%;14.88%;0.35%;2.01%;2.2
Annie;Mage;MID;C;40.51;-1.9;49.29%;77.56%;1.33%;0.48%;2.27
Annie;Mage;SUPPORT;D;18.51;2.35;42.69%;17.44%;0.29%;0.54%;1.85
Aphelios;Marksman;ADC;D;32.2;-8.18;45.35%;97.61%;6.56%;1.09%;1.93
Ashe;Marksman;ADC;A;51.73;-1.71;50.31%;64.72%;8.19%;2.64%;2.41
Ashe;Marksman;SUPPORT;B;46.97;1.68;49.43%;32.65%;4.13%;2.64%;2.4
Aurelion Sol;Mage;MID;C;39.6;-6.22;49.57%;87.08%;0.56%;0.29%;2.46
Azir;Mage;MID;C;40.25;-2.05;44.19%;93.81%;4.69%;1.37%;2.01
Bard;Support;SUPPORT;B;45.09;-1.92;48.87%;96.61%;3.24%;0.56%;2.9
Bel'Veth;Fighter;JUNGLE;God;70.12;-4.11;52.70%;93.46%;6.65%;29.33%;2.48
Blitzcrank;Tank;SUPPORT;God;69.52;-11.01;50.96%;84.63%;7.70%;26.55%;2.42
Blitzcrank;Tank;JUNGLE;D;25.08;-17.68;43.25%;13.52%;1.35%;26.55%;2.25
Brand;Mage;SUPPORT;B;46.56;-0.6;51.24%;75.01%;3.43%;4.46%;1.87
Brand;Mage;MID;C;39.75;7.84;50.32%;15.43%;0.76%;4.85%;2.06
Braum;Support;SUPPORT;C;39.01;-1.88;48.55%;98.53%;1.98%;0.29%;2.56
Caitlyn;Marksman;ADC;God;88.6;12.24;49.84%;97.99%;19.19%;17.20%;2.28
Camille;Fighter;TOP;S;61.4;1.12;51.25%;95.01%;6.32%;2.94%;2.02
Cassiopeia;Mage;MID;B;43.63;-2.7;50.51%;77.43%;1.85%;1.58%;2.08
Cassiopeia;Mage;TOP;C;40.92;-1.27;51.00%;12.87%;0.32%;1.59%;1.76
Cho'Gath;Tank;TOP;B;45.96;-1.13;50.58%;65.43%;1.69%;0.68%;2.05
Cho'Gath;Tank;MID;C;39.78;-3.63;50.24%;18.98%;0.38%;0.68%;2.36
Corki;Marksman;MID;D;36.24;4.83;47.47%;91.04%;1.18%;0.18%;2.22
Darius;Fighter;TOP;God;76.73;0.44;50.40%;94.14%;9.09%;27.64%;1.85
Diana;Fighter;JUNGLE;S;56.67;-1.51;51.12%;76.82%;6.07%;4.72%;2.49
Diana;Fighter;MID;B;45.27;-2.26;51.41%;21.26%;1.64%;4.72%;2.16
Dr. Mundo;Marksman;TOP;A;49.54;-0.72;51.21%;83.70%;2.25%;1.39%;2.16
Draven;Fighter;ADC;A;53.11;-0.44;50.72%;95.30%;6.71%;25.64%;2.14
Ekko;Assassin;JUNGLE;S;60.89;-1.21;50.81%;68.71%;6.82%;6.00%;2.84
Ekko;Assassin;MID;A;50.26;-0.96;51.32%;29.59%;2.80%;6.00%;2.37
Elise;Mage;JUNGLE;A;48.23;-1.17;51.23%;94.93%;3.20%;2.35%;2.87
Evelynn;Assassin;JUNGLE;A;52.46;-4.05;50.54%;98.48%;4.33%;6.71%;3.05
Ezreal;Marksman;ADC;S;68.14;1.1;48.85%;95.77%;15.40%;2.73%;2.45
Fiddlesticks;Mage;JUNGLE;A;52.59;-2.89;52.19%;87.75%;3.88%;6.10%;2.8
Fiora;Fighter;TOP;S;68.86;0.36;50.76%;97.95%;7.89%;18.53%;1.75
