Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;77.17;-5.29;49.54%;92.59%;7.61%;6.47%;1.84
Ahri;Mage;MID;God;80.34;-7.49;50.38%;94.77%;10.83%;13.10%;2.41
Akali;Assassin;MID;S;62.64;-0.47;49.61%;64.32%;6.53%;15.19%;2.26
Akali;Assassin;TOP;A;49.62;-1.6;48.14%;34.81%;3.32%;15.19%;1.98
Akshan;Marksman;MID;A;52.54;1.41;50.97%;61.05%;3.64%;10.18%;2.13
Akshan;Marksman;TOP;B;44.81;4.4;51.57%;29.06%;1.66%;10.18%;1.88
Alistar;Tank;SUPPORT;A;47.79;0.68;50.26%;96.87%;3.49%;0.85%;2.47
Amumu;Tank;JUNGLE;C;38.79;2.96;49.97%;83.60%;2.28%;0.94%;2.47
Amumu;Tank;SUPPORT;D;33.07;1.53;48.81%;13.65%;0.34%;1.01%;1.95
Anivia;Mage;MID;A;50.53;-2.84;51.06%;78.88%;2.71%;2.81%;2.5
Anivia;Mage;SUPPORT;D;31.88;5.81;47.75%;13.87%;0.42%;2.81%;2.08
Annie;Mage;MID;B;43.52;-2.55;49.86%;82.56%;1.74%;0.69%;2.23
Annie;Mage;SUPPORT;D;26.92;-7.49;45.75%;11.76%;0.25%;0.74%;1.94
Aphelios;Marksman;ADC;C;35.84;3.19;45.38%;96.78%;7.30%;1.26%;1.86
Ashe;Marksman;ADC;B;46.51;-2.5;50.05%;78.58%;6.67%;1.08%;2.3
Ashe;Marksman;SUPPORT;C;39.18;0.98;49.51%;17.14%;1.44%;1.16%;2.27
Aurelion Sol;Mage;MID;C;39.53;-3.42;49.37%;85.90%;0.76%;0.34%;2.25
Azir;Mage;MID;C;37.67;-4.52;47.20%;81.99%;1.75%;0.38%;2.03
Azir;Mage;TOP;D;22.29;0;46.63%;12.99%;0.26%;0.36%;1.74
Bard;Support;SUPPORT;A;48.82;-2.21;50.31%;97.06%;3.25%;0.57%;2.87
Blitzcrank;Tank;SUPPORT;S;63.13;-0.45;50.50%;98.21%;7.01%;16.84%;2.41
Brand;Mage;SUPPORT;B;44.29;1.33;49.97%;68.46%;3.32%;4.88%;1.77
Brand;Mage;MID;B;40.49;2.19;50.36%;17.50%;0.83%;5.34%;2.01
Braum;Support;SUPPORT;B;43.77;4.16;48.63%;98.06%;2.70%;0.40%;2.84
Caitlyn;Marksman;ADC;A;48.84;-6.38;47.90%;96.58%;9.21%;6.68%;2.12
Camille;Fighter;TOP;S;60.38;-3.25;49.70%;94.75%;5.07%;3.44%;1.84
Cassiopeia;Mage;MID;B;44.23;0.35;50.33%;73.14%;2.06%;1.68%;1.99
Cassiopeia;Mage;TOP;D;28.08;-7.39;48.43%;15.53%;0.47%;1.70%;1.76
Cho'Gath;Tank;TOP;A;52;9.25;52.63%;66.06%;2.42%;0.93%;2.03
Cho'Gath;Tank;MID;B;45.53;4.64;52.89%;19.87%;0.59%;0.93%;2.27
Corki;Marksman;MID;C;36.72;-2.28;47.16%;89.96%;1.45%;0.36%;2.05
Darius;Fighter;TOP;God;85.61;-5.85;49.82%;93.23%;7.79%;18.09%;1.75
Diana;Fighter;JUNGLE;God;75;-11.75;51.74%;82.65%;8.65%;10.88%;2.46
Diana;Fighter;MID;B;44.98;-1.05;50.71%;15.83%;1.72%;10.88%;2.1
Dr. Mundo;Marksman;TOP;B;46.54;-1.14;50.99%;85.17%;2.13%;1.31%;2.05
Draven;Fighter;ADC;B;41.87;-1.32;48.92%;94.24%;5.83%;11.25%;2
Ekko;Assassin;JUNGLE;A;54.65;-3.32;50.82%;63.48%;4.98%;3.79%;2.7
Ekko;Assassin;MID;B;46.01;1.2;49.87%;34.02%;2.52%;3.79%;2.16
Elise;Mage;JUNGLE;C;33.9;1.96;49.11%;92.08%;1.57%;0.86%;2.51
Evelynn;Assassin;JUNGLE;B;40.83;-0.32;48.26%;98.47%;3.16%;5.63%;2.73
Ezreal;Marksman;ADC;God;89.22;1.78;50.16%;96.07%;22.55%;5.82%;2.37
Fiddlesticks;Mage;JUNGLE;A;47.9;-0.04;51.65%;89.05%;3.15%;2.46%;2.64
Fiora;Fighter;TOP;God;74.85;-2.69;51.10%;97.41%;6.14%;14.82%;1.7
Fizz;Assassin;MID;A;54.63;0.01;51.39%;95.18%;3.74%;5.44%;2.44
Galio;Tank;MID;B;47.11;-1.94;50.34%;73.80%;2.05%;0.40%;2.55
Galio;Tank;SUPPORT;C;34.05;-1.87;48.32%;23.91%;0.63%;0.41%;2.19
Gangplank;Fighter;TOP;God;88.94;1.38;47.44%;85.96%;9.16%;15.52%;1.85
Gangplank;Fighter;MID;C;38.56;-0.62;47.55%;13.32%;1.53%;14.98%;2.06
