Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;89.36;8.15;50.38%;92.53%;11.12%;12.70%;1.96
Ahri;Mage;MID;God;70.1;4.73;49.78%;94.85%;8.68%;4.53%;2.58
Akali;Assassin;MID;God;77.82;-1.22;49.09%;70.33%;9.85%;17.78%;2.37
Akali;Assassin;TOP;A;48.28;-1.63;46.88%;28.63%;3.74%;17.78%;2.02
Akshan;Marksman;MID;A;51.09;2.88;51.62%;62.55%;2.91%;5.96%;2.27
Akshan;Marksman;TOP;B;44.17;-1.76;51.36%;29.10%;1.22%;5.96%;2.03
Alistar;Tank;SUPPORT;B;43.8;0.44;48.84%;95.76%;3.37%;0.75%;2.45
Amumu;Tank;JUNGLE;A;50.35;5.29;51.72%;42.51%;3.61%;3.90%;2.7
Amumu;Tank;SUPPORT;A;50.15;4.16;51.47%;56.34%;4.21%;3.90%;2.13
Anivia;Mage;MID;A;50.87;1.91;51.81%;79.25%;2.34%;2.62%;2.6
Anivia;Mage;SUPPORT;D;30.48;-0.39;46.66%;14.32%;0.38%;2.56%;2.24
Annie;Mage;MID;B;45.04;-1.01;51.08%;81.04%;1.58%;0.54%;2.33
Annie;Mage;SUPPORT;D;34.33;6.81;49.40%;10.37%;0.20%;0.59%;2.07
Aphelios;Marksman;ADC;D;34.58;1.71;46.86%;97.33%;5.70%;0.66%;2.04
Ashe;Marksman;SUPPORT;A;53.95;-2.44;49.32%;48.72%;6.49%;4.36%;2.38
Ashe;Marksman;ADC;B;46.7;-0.92;50.03%;48.48%;6.60%;4.36%;2.4
Aurelion Sol;Mage;MID;C;37.82;0.17;48.90%;86.33%;0.79%;0.29%;2.34
Azir;Mage;MID;B;47.22;0.15;47.74%;90.72%;4.35%;1.94%;2.13
Bard;Support;SUPPORT;B;47.08;-2.95;49.51%;96.20%;3.47%;0.61%;2.89
Bel'Veth;Fighter;JUNGLE;God;69.66;-3.13;52.28%;95.80%;6.33%;27.27%;2.42
Blitzcrank;Tank;SUPPORT;S;56.29;-1.59;49.80%;98.25%;6.31%;12.18%;2.43
Brand;Mage;SUPPORT;B;46.96;4.38;51.19%;73.23%;3.52%;4.70%;1.89
Brand;Mage;MID;B;42.39;0.46;51.52%;17.71%;0.88%;5.15%;2.1
Braum;Support;SUPPORT;C;40.67;-1.05;48.46%;97.56%;2.21%;0.35%;2.68
Caitlyn;Marksman;ADC;S;55.82;1.33;49.53%;96.51%;10.43%;5.15%;2.25
