Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;91.85;2.49;50.11%;93.22%;11.90%;15.17%;1.94
Ahri;Mage;MID;God;73.7;3.6;50.38%;95.28%;9.18%;4.42%;2.59
Akali;Assassin;MID;God;70.3;-7.52;48.05%;71.44%;8.59%;16.20%;2.34
Akali;Assassin;TOP;B;48.06;-0.22;48.50%;27.69%;3.08%;16.20%;2.04
Akshan;Marksman;MID;B;45.78;-5.31;49.57%;64.68%;2.72%;5.58%;2.23
Akshan;Marksman;TOP;C;39.2;-4.97;49.19%;27.66%;1.17%;5.58%;1.92
Alistar;Tank;SUPPORT;B;45.53;1.73;49.88%;96.29%;3.09%;0.63%;2.48
Amumu;Tank;SUPPORT;A;53.84;3.69;52.29%;63.97%;4.69%;4.76%;2.15
Amumu;Tank;JUNGLE;A;51.89;1.54;52.45%;37.44%;3.07%;4.60%;2.71
Anivia;Mage;MID;A;51.39;0.51;52.30%;80.09%;2.32%;2.47%;2.6
Anivia;Mage;SUPPORT;D;33.63;3.15;48.18%;13.83%;0.35%;2.42%;2.27
Annie;Mage;MID;C;42.11;-2.92;49.73%;84.18%;1.55%;0.47%;2.38
Annie;Mage;SUPPORT;D;28.58;-5.75;46.37%;10.29%;0.20%;0.54%;2.03
Aphelios;Marksman;ADC;D;34.35;-0.23;47.61%;97.03%;5.19%;0.63%;2.04
Ashe;Marksman;SUPPORT;A;54.59;0.64;50.32%;48.46%;5.95%;3.80%;2.41
Ashe;Marksman;ADC;B;46.02;-0.68;50.63%;48.44%;5.99%;3.80%;2.39
Aurelion Sol;Mage;MID;C;37.94;0.11;49.10%;87.81%;0.69%;0.30%;2.43
Azir;Mage;MID;A;51.01;3.79;47.29%;91.52%;5.57%;2.78%;2.1
Bard;Support;SUPPORT;A;48.96;1.88;50.38%;96.63%;3.22%;0.61%;2.95
Bel'Veth;Fighter;JUNGLE;S;57.66;-12;51.94%;96.18%;6.32%;23.29%;2.42
Blitzcrank;Tank;SUPPORT;S;55.24;-1.05;49.48%;98.36%;6.16%;11.57%;2.42
Brand;Mage;SUPPORT;C;42.11;-4.85;48.86%;72.19%;3.44%;4.49%;1.82
