Reports,Count
06/14/2012,128
06/08/2012,65
06/05/2012,101
05/29/2012,308
05/13/2012,810
04/18/2012,321
03/16/2012,70
03/13/2012,479
02/10/2012,128
02/03/2012,163
01/24/2012,239
01/12/2012,592
12/17/2011,65
12/12/2011,938
10/25/2011,162
10/19/2011,150
10/10/2011,1017
08/21/2011,327
08/07/2011,406
07/17/2011,229
07/06/2011,119
07/04/2011,154
06/27/2011,79
06/20/2011,112
06/12/2011,92
06/03/2011,63
05/29/2011,192
05/12/2011,134
05/02/2011,323
04/03/2011,128
03/23/2011,143
03/10/2011,210
02/23/2011,77
02/18/2011,117
02/08/2011,90
01/31/2011,321
01/05/2011,497
11/21/2010,1366
08/30/2010,126
08/24/2010,497
07/29/2010,23
07/28/2010,164
07/19/2010,260
07/10/2010,164
07/06/2010,274
06/23/2010,151
06/10/2010,61
06/03/2010,259
05/12/2010,323
04/13/2010,573
02/14/2010,643
12/12/2009,1627
08/28/2009,14
08/27/2009,373
08/05/2009,1006
06/09/2009,376
05/12/2009,351
04/14/2009,331
03/19/2009,1202
01/10/2009,1199
10/31/2008,1275
08/12/2008,772
07/05/2008,422
06/12/2008,1025
04/17/2008,127
03/31/2008,348
03/04/2008,759
02/14/2008,457
01/21/2008,453
11/28/2007,829
10/08/2007,893
08/14/2007,132
08/07/2007,887
06/12/2007,525
04/27/2007,748
03/08/2007,155
02/24/2007,292
02/01/2007,944
12/14/2006,106
12/07/2006,598
10/30/2006,1577
07/16/2006,727
05/15/2006,935
03/11/2006,315
02/14/2006,662
12/16/2005,582
11/08/2005,112
11/03/2005,252
10/20/2005,167
10/11/2005,806
09/15/2005,133
09/02/2005,681
07/15/2005,34
07/13/2005,134
07/05/2005,226
06/20/2005,288
05/28/2005,46
05/24/2005,506
05/11/2005,553
04/16/2005,540
02/24/2005,43
02/22/2005,179
02/08/2005,156
01/27/2005,66
01/19/2005,186
01/11/2005,167
12/14/2004,167
12/03/2004,304
11/09/2004,115
11/02/2004,157
10/27/2004,349
09/29/2004,294
09/09/2004,135
09/01/2004,156
08/24/2004,239
08/11/2004,237
07/25/2004,301
07/08/2004,207
06/23/2004,80
06/18/2004,265
06/04/2004,428
05/10/2004,79
05/04/2004,82
04/30/2004,36
04/27/2004,409
04/09/2004,160
03/29/2004,27
03/28/2004,70
03/23/2004,92
03/17/2004,160
03/09/2004,86
03/02/2004,270
03/01/2004,6
02/12/2004,163
01/31/2004,148
01/22/2004,95
01/17/2004,481
12/19/2003,191
12/09/2003,239
11/26/2003,350
11/11/2003,59
11/08/2003,129
10/31/2003,443
10/17/2003,28
10/15/2003,97
10/07/2003,152
09/28/2003,99
09/24/2003,196
09/17/2003,91
09/12/2003,62
09/09/2003,95
09/04/2003,180
08/28/2003,382
08/04/2003,46
08/01/2003,120
07/23/2003,112
07/16/2003,406
06/18/2003,107
06/10/2003,65
06/03/2003,65
05/27/2003,149
05/13/2003,32
05/09/2003,63
05/02/2003,71
04/27/2003,53
04/22/2003,219
03/21/2003,532
03/11/2003,191
03/04/2003,162
02/25/2003,88
