Reports,Count
Unspecified,6377
Changing,3802
Chevron,1700
Cigar,3652
Circle,13958
Cone,597
Cross,488
Cube,8
Cylinder,2403
Delta,1
Diamond,2077
Disk,8526
Egg,1250
Fireball,9796
Flash,2393
Formation,4757
Light,27034
Orb,5418
Other,9901
Oval,6237
Rectangle,2526
Sphere,7512
Star,126
Teardrop,1219
Triangle,12879
Unknown,9814
